d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,source_layer,watch_days,duplicate_active_event_dropped
2026-05-21,017900,광전자,KOSPI,반도체 제조업,"트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매",COMMON,13350,15470,12850,13700,42710550,12450.0,10.040160642570273,5851.34535,5.969154403998614,7.030247096316538,0.6755725190839694,0.19083969465648856,20.389105058365757,3.0,11.0,2026-06-01,6,ACTIVE_WATCHLIST,10,False
2026-05-29,018880,한온시스템,KOSPI,일반 목적용 기계 제조업,"자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",COMMON,5230,5870,5210,5630,84560998,5100.0,10.392156862745106,4760.7841874,1.829909751489449,2.0016024953330995,0.36363636363636365,0.030303030303030304,12.667946257197697,1.0,22.0,2026-06-01,1,ACTIVE_WATCHLIST,10,False
2026-05-28,024060,흥구석유,KOSDAQ,기타 전문 도매업,휘발유등,COMMON,13000,16370,13000,13550,15759006,13160.0,2.963525835866254,2135.345313,6.285164994192835,5.292345827137072,0.8367952522255193,0.0,25.92307692307692,13.0,41.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-22,024840,KBI메탈,KOSDAQ,1차 비철금속 제조업,"동ROD, 모터코어",COMMON,7580,8180,7090,7640,18205392,6890.0,10.885341074020328,1390.8919488,1.5086358447688657,1.7193366758148272,0.4954128440366973,0.44954128440366975,15.373765867418902,11.0,52.0,2026-06-01,5,ACTIVE_WATCHLIST,10,False
2026-05-26,027360,아주IB투자,KOSDAQ,기타 금융업,,COMMON,16580,17690,16250,16510,15370907,15780.0,4.62610899873257,2537.7367457,0.8750641155147413,0.8617374314059019,0.7708333333333334,0.18055555555555555,8.86153846153846,17.0,32.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-28,032580,피델릭스,KOSDAQ,반도체 제조업,PSRAM 및 LPSDRAM,COMMON,6310,7260,5320,6810,10417307,6280.0,8.439490445859876,709.4186067,2.1875409220000113,3.2499282244964927,0.23195876288659795,0.5103092783505154,36.46616541353384,21.0,113.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-29,034220,LG디스플레이,KOSPI,전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",COMMON,15240,16600,14700,16090,60260628,14420.0,11.581137309292643,9695.9350452,4.515843487411843,5.159899313182358,0.26842105263157895,0.28421052631578947,12.925170068027212,2.0,14.0,2026-06-01,1,ACTIVE_WATCHLIST,10,False
2026-05-26,036540,SFA반도체,KOSDAQ,반도체 제조업,"반도체패키지(SOP,DIP,QFP)",COMMON,10480,11640,10250,11010,42062040,10250.0,7.41463414634147,4631.030604,2.985441959884072,3.55095051953993,0.45323741007194246,0.16546762589928057,13.560975609756099,5.0,17.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-26,046970,우리로,KOSDAQ,기타 전문 도매업,"광분배기(웨이퍼, 칩, 모듈), 광다이오드",COMMON,10110,11000,9740,10390,15976707,9600.0,8.229166666666664,1659.9798573,2.506284080988329,2.8760906617746,0.48412698412698413,0.29365079365079366,12.93634496919918,16.0,49.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-29,047040,대우건설,KOSPI,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",COMMON,26500,27250,24850,26200,15513424,25450.0,2.946954813359537,4064.517088,0.9199672842648284,0.7465158529432762,0.3125,0.5625,9.6579476861167,10.0,31.0,2026-06-01,1,ACTIVE_WATCHLIST,10,False
2026-05-27,048410,현대바이오,KOSDAQ,기타 화학제품 제조업,화장품 및 화장품원료,COMMON,13640,16690,13190,14190,14115497,13630.0,4.108584005869398,2002.9890243,5.363414385546383,5.863103287365744,0.7142857142857143,0.12857142857142856,26.535253980288097,19.0,45.0,2026-06-01,3,ACTIVE_WATCHLIST,10,False
2026-05-22,050890,쏠리드,KOSDAQ,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기",COMMON,16500,18670,16440,18130,16074160,15740.0,15.184243964421862,2914.245208,2.164451616750424,2.231059127356114,0.242152466367713,0.026905829596412557,13.564476885644769,14.0,17.0,2026-06-01,5,ACTIVE_WATCHLIST,10,False
2026-05-26,052900,KX하이텍,KOSDAQ,플라스틱제품 제조업,TRAY(반도체Packing재료),COMMON,2260,2430,1952,2060,13102668,2045.0,0.7334963325183352,269.9149608,1.9325054164950781,2.4624742618624285,0.35564853556485354,0.22594142259414227,24.487704918032787,19.0,230.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-26,062970,한국첨단소재,KOSDAQ,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등",COMMON,3380,4105,3380,4105,27220115,3160.0,29.905063291139243,1117.38572075,4.392326779534518,5.9833024784205575,0.0,0.0,21.449704142011836,7.0,71.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-19,066430,아이로보틱스,KOSDAQ,기타 전문 도매업,"VCI,LDPE필름 외",COMMON,4050,5080,3655,4295,66152142,4000.0,7.374999999999998,2841.2344989,15.039625572510337,19.642278866765672,0.5508771929824562,0.2771929824561403,38.98768809849521,2.0,22.0,2026-06-01,8,ACTIVE_WATCHLIST,10,False
2026-05-28,066980,한성크린텍,KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업",수처리설비EPC,COMMON,2005,2430,1979,2355,10672425,2015.0,16.873449131513652,251.33560875,2.548104753638918,3.298256261925049,0.1662971175166297,0.057649667405764965,22.789287518948964,20.0,240.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
