d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-07-24,V2,기존 V2 기록후보,3,0,0,0,3,-3.333333333333333,5.637500833017032,-14.372381237091048,-1.6091677170896437,-2.875910924131364,🔴,0.0,1.0
2025-07-25,V2,기존 V2 기록후보,3,0,0,0,3,-3.0,8.633282498518284,-12.18142415534025,-0.2774037049573946,1.2906763906200118,🔴,0.0,1.0
2025-07-28,V2,기존 V2 기록후보,3,1,0,0,2,-1.0,9.629457237670104,-7.185932644933117,0.4039641836753242,1.005938413950569,🔴,0.3333333333333333,0.6666666666666666
2025-07-29,V2,기존 V2 기록후보,3,1,0,0,2,-0.3333333333333333,7.503174111752564,-11.027639350163568,-1.4970951923220734,2.701177709154693,🟢,0.3333333333333333,0.6666666666666666
2025-07-30,V2,기존 V2 기록후보,3,0,0,0,3,-7.666666666666667,3.705959910721349,-13.999768689192097,-3.040375583952322,-1.8814137591526912,🔴,0.0,1.0
2025-07-31,V2,기존 V2 기록후보,3,0,0,0,3,-10.0,2.364375661522881,-11.086686930456397,-3.1841398506156526,-2.806123007043593,🔴,0.0,1.0
2025-08-01,V2,기존 V2 기록후보,3,2,0,0,1,-0.6666666666666666,7.400391145303932,-4.855730142356999,-1.1221185682814976,-0.5330236752206602,🔴,0.6666666666666666,0.3333333333333333
2025-08-04,V2,기존 V2 기록후보,3,1,0,0,2,3.0,9.305228573577333,-5.050585816535555,-0.6865630101789755,1.1173199726397964,🟢,0.3333333333333333,0.6666666666666666
2025-08-05,V2,기존 V2 기록후보,3,2,0,0,1,5.666666666666667,11.317410685274362,-3.085754452657648,0.7064759930466661,2.0541418208529283,🟢,0.6666666666666666,0.3333333333333333
2025-08-06,V2,기존 V2 기록후보,3,1,0,0,2,-3.0,4.824274280253257,-8.090888342890429,1.2748518929561747,2.545358222248114,🔴,0.3333333333333333,0.6666666666666666
2025-08-07,V2,기존 V2 기록후보,3,2,0,0,1,-1.0,3.256080794729048,-5.315017449793543,-0.9565485014277084,0.04342926130112,🟢,0.6666666666666666,0.3333333333333333
2025-08-08,V2,기존 V2 기록후보,3,2,0,0,1,1.6666666666666667,3.934501751116241,-4.081130362975035,0.5323485315644231,1.3290892041869766,🟢,0.6666666666666666,0.3333333333333333
2025-08-11,V2,기존 V2 기록후보,3,0,0,0,3,-6.666666666666667,3.9724920596701776,-11.000453341311976,-2.981477666400656,-1.4080949143045032,🔴,0.0,1.0
2025-08-12,V2,기존 V2 기록후보,3,0,0,0,3,-11.666666666666666,10.727413976369611,-13.199519499802436,-4.106918101852815,-4.87998018640651,🔴,0.0,1.0
2025-08-13,V2,기존 V2 기록후보,3,1,0,0,2,-5.666666666666667,14.088527368254423,-7.999751833807533,-4.321702925463377,-2.771909099858398,🔴,0.3333333333333333,0.6666666666666666
