effective_as_of_date,model_name,EXPANDING_cum_d5_plus13_touch_rate,MTD_cum_d5_plus13_touch_rate,ROLLING_10TD_cum_d5_plus13_touch_rate,ROLLING_120TD_cum_d5_plus13_touch_rate,ROLLING_20TD_cum_d5_plus13_touch_rate,ROLLING_60TD_cum_d5_plus13_touch_rate,YTD_cum_d5_plus13_touch_rate,EXPANDING_cum_d5_minus2_touch_rate,MTD_cum_d5_minus2_touch_rate,ROLLING_10TD_cum_d5_minus2_touch_rate,ROLLING_120TD_cum_d5_minus2_touch_rate,ROLLING_20TD_cum_d5_minus2_touch_rate,ROLLING_60TD_cum_d5_minus2_touch_rate,YTD_cum_d5_minus2_touch_rate,EXPANDING_cum_d5_plus13_before_minus2_rate,MTD_cum_d5_plus13_before_minus2_rate,ROLLING_10TD_cum_d5_plus13_before_minus2_rate,ROLLING_120TD_cum_d5_plus13_before_minus2_rate,ROLLING_20TD_cum_d5_plus13_before_minus2_rate,ROLLING_60TD_cum_d5_plus13_before_minus2_rate,YTD_cum_d5_plus13_before_minus2_rate,EXPANDING_avg_ret_d5_close,MTD_avg_ret_d5_close,ROLLING_10TD_avg_ret_d5_close,ROLLING_120TD_avg_ret_d5_close,ROLLING_20TD_avg_ret_d5_close,ROLLING_60TD_avg_ret_d5_close,YTD_avg_ret_d5_close,EXPANDING_n_d5_eligible_rows,MTD_n_d5_eligible_rows,ROLLING_10TD_n_d5_eligible_rows,ROLLING_120TD_n_d5_eligible_rows,ROLLING_20TD_n_d5_eligible_rows,ROLLING_5TD_n_d5_eligible_rows,ROLLING_60TD_n_d5_eligible_rows,YTD_n_d5_eligible_rows,EXPANDING_sample_status,MTD_sample_status,ROLLING_10TD_sample_status,ROLLING_120TD_sample_status,ROLLING_20TD_sample_status,ROLLING_5TD_sample_status,ROLLING_60TD_sample_status,YTD_sample_status
2025-12-22,EOD_PRICE_VOLUME_TOP3,88.6319845857418,93.93939393939394,93.33333333333333,89.27536231884058,95.55555555555556,94.54545454545455,88.6319845857418,76.49325626204238,75.75757575757575,93.33333333333333,75.07246376811594,75.55555555555556,78.18181818181819,76.49325626204238,42.77456647398844,48.484848484848484,33.33333333333333,46.08695652173913,46.666666666666664,44.24242424242424,42.77456647398844,0.9930394699516327,4.549004419165098,2.5939163525625664,1.3751155752554864,4.857202790768185,2.3065125915551823,0.9930394699516327,519.0,33.0,15.0,345.0,45.0,0.0,165.0,519.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-22,EOD_SECTOR_REGIME_TOP3,89.59537572254335,93.93939393939394,100.0,90.14492753623189,95.55555555555556,95.15151515151516,89.59537572254335,81.5028901734104,78.78787878787878,93.33333333333333,80.0,73.33333333333333,82.42424242424242,81.5028901734104,36.22350674373796,36.36363636363637,20.0,38.26086956521739,42.22222222222222,35.15151515151515,36.22350674373796,1.004996894678682,6.503891744553944,3.680289130650143,1.5442805670200104,6.97374564214395,2.370072059263936,1.004996894678682,519.0,33.0,15.0,345.0,45.0,0.0,165.0,519.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-22,EOD_SUPPLY_DEMAND_TOP3,88.2466281310212,93.93939393939394,93.33333333333333,88.40579710144928,95.55555555555556,92.12121212121212,88.2466281310212,78.9980732177264,75.75757575757575,93.33333333333333,76.81159420289855,75.55555555555556,80.60606060606061,78.9980732177264,37.57225433526011,45.45454545454545,26.666666666666668,41.73913043478261,48.888888888888886,37.57575757575757,37.57225433526011,0.8228420746212809,7.38038743045803,5.567166382934486,1.200737095085203,6.102637412650465,1.953265692252976,0.8228420746212809,519.0,33.0,15.0,345.0,45.0,0.0,165.0,519.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-22,EOD_TECHNICAL_TOP3,88.6319845857418,90.9090909090909,86.66666666666667,88.69565217391305,93.33333333333333,92.12121212121212,88.6319845857418,79.38342967244701,84.84848484848484,93.33333333333333,79.42028985507247,82.22222222222221,81.81818181818183,79.38342967244701,36.22350674373796,33.33333333333333,13.333333333333334,38.550724637681164,35.55555555555556,33.939393939393945,36.22350674373796,1.642791915573073,8.867321375259463,0.244377379420769,1.5696785601769887,8.977743540434238,2.773565192268361,1.642791915573073,519.0,33.0,15.0,345.0,45.0,0.0,165.0,519.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,BASELINE_EOD_VALUE_TOP3,88.12260536398468,91.66666666666666,80.0,88.40579710144928,93.33333333333333,89.6969696969697,88.12260536398468,67.43295019157088,77.77777777777779,93.33333333333333,66.95652173913044,80.0,73.93939393939394,67.43295019157088,52.490421455938694,36.11111111111111,13.333333333333334,53.04347826086957,37.77777777777778,47.27272727272727,52.490421455938694,0.7354628901681116,-0.16245030885096418,-7.15253510449246,0.6433298151555602,-0.713107314457229,0.8557121686850064,0.7354628901681116,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,EOD_ALL_FEATURES_TOP3,87.73946360153256,83.33333333333334,73.33333333333333,87.82608695652175,86.66666666666667,92.72727272727272,87.73946360153256,84.86590038314176,88.88888888888889,100.0,84.63768115942028,84.44444444444444,85.45454545454545,84.86590038314176,32.56704980842912,36.11111111111111,20.0,33.04347826086956,42.22222222222222,31.515151515151512,32.56704980842912,0.8193570969385106,11.384315250898474,1.9885871988334936,1.6003116704882414,12.020611106630504,3.5503265268767534,0.8193570969385106,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,EOD_CONSERVATIVE_TOP1_TOP3,87.73946360153256,94.44444444444444,93.33333333333333,88.69565217391305,95.55555555555556,95.15151515151516,87.73946360153256,73.5632183908046,77.77777777777779,86.66666666666667,72.17391304347827,77.77777777777779,76.36363636363637,73.5632183908046,42.911877394636015,44.44444444444444,33.33333333333333,46.08695652173913,44.44444444444444,43.63636363636363,42.911877394636015,2.276754545024728,8.972885378833972,8.328082232489226,2.571233173452861,7.5170160828882,3.7810736371469114,2.276754545024728,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,EOD_DART_TOP3,89.272030651341,88.88888888888889,86.66666666666667,89.56521739130436,91.11111111111111,93.93939393939394,89.272030651341,77.39463601532567,80.55555555555556,93.33333333333333,75.07246376811594,82.22222222222221,81.21212121212122,77.39463601532567,40.42145593869732,41.66666666666667,26.666666666666668,44.927536231884055,40.0,39.39393939393939,40.42145593869732,1.1639192556363234,6.538012741992319,1.606486869955937,1.6100681283992462,5.438636865972994,2.1310036130224925,1.1639192556363234,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,EOD_FUNDAMENTAL_TOP3,89.08045977011494,88.88888888888889,86.66666666666667,89.56521739130436,91.11111111111111,93.33333333333333,89.08045977011494,81.4176245210728,80.55555555555556,93.33333333333333,80.0,82.22222222222221,83.63636363636363,81.4176245210728,36.39846743295019,41.66666666666667,26.666666666666668,40.28985507246377,42.22222222222222,37.57575757575757,36.39846743295019,1.00495202829683,8.615779053801326,1.6064868699559371,1.6171154077532683,6.648292636859095,2.982403572754796,1.00495202829683,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
2025-12-23,EOD_PRICE_VOLUME_TOP3,88.69731800766284,94.44444444444444,93.33333333333333,89.85507246376811,95.55555555555556,94.54545454545455,88.69731800766284,76.62835249042146,77.77777777777779,93.33333333333333,75.07246376811594,77.77777777777779,78.18181818181819,76.62835249042146,42.5287356321839,44.44444444444444,26.666666666666668,46.08695652173913,44.44444444444444,43.63636363636363,42.5287356321839,1.0323865285801237,4.82320635684376,2.5233024840763827,1.5198361588150775,4.612467407621745,2.4883470996061474,1.0323865285801237,522.0,36.0,15.0,345.0,45.0,0.0,165.0,522.0,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,MEDIUM_SAMPLE,LOW_SAMPLE,OK,OK
