model_name,signal_date,selected_count,d1_plus13_success_count,d5_plus13_touch_count,d5_minus2_touch_count,avg_ret_d5_close,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,d1_plus13_touch_count,cum_d1_plus13_touch_count,d2_plus13_touch_count,cum_d2_plus13_touch_count,d3_plus13_touch_count,cum_d3_plus13_touch_count,d4_plus13_touch_count,cum_d4_plus13_touch_count,cum_d5_plus13_touch_count
EOD_FUNDAMENTAL_TOP3,2026-02-02,3,2,2,1,17.525366891798136,44.13680881275397,-2.195044488355661,3,3,3,3,3,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-03,3,1,1,2,-3.337855550217821,10.14740271770815,-8.875322945092877,2,2,2,2,1,2,1,2,2
EOD_FUNDAMENTAL_TOP3,2026-02-04,3,3,2,2,8.1013638952694,20.274695681111456,-8.335674336656668,3,3,1,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-05,3,0,2,3,7.273821402369715,15.909033812081029,-10.565263628869852,1,1,2,2,2,2,2,2,2
EOD_FUNDAMENTAL_TOP3,2026-02-06,3,3,3,1,13.060960566445345,27.552763670204673,-2.053922267919676,3,3,3,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-09,3,0,2,3,6.383606193924176,17.309022181702606,-8.988486793901677,2,2,3,3,1,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-10,3,1,2,3,6.0362787405906575,24.5851830908971,-5.519117430190131,3,3,3,3,3,3,3,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-11,3,1,2,2,-2.66700188442535,15.370031665509247,-6.895676169701105,2,2,2,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-12,3,1,3,3,8.549095362175743,16.44696681744978,-9.017396164893958,2,2,1,2,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-13,3,2,2,2,35.94768021942435,43.19328576691669,-2.587882494693358,3,3,3,3,3,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-19,3,1,3,2,11.916134736909674,22.720123505530875,-6.132854568104885,3,3,2,3,2,3,2,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-20,3,2,2,2,2.3133957241817185,11.322233908954667,-5.3526580902225165,3,3,3,3,3,3,1,3,3
EOD_FUNDAMENTAL_TOP3,2026-02-23,3,0,1,3,-13.234211346228951,2.490106176167043,-21.294975937775572,2,2,1,2,0,2,0,2,2
EOD_FUNDAMENTAL_TOP3,2026-02-24,3,0,2,3,3.940162016845065,22.31800468365358,-17.632900588805803,2,2,1,3,2,3,3,3,3
