period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status
week,2025-W38,2025-09-15,2025-09-19,V3_D_V2_CONFIRM,15,15,15,5,-0.16014801304223464,1.0782308294449112,4.051565377532218,53.333333333333336,5.813133951128091,-4.219006267509461,73.33333333333333,73.33333333333333,73.33333333333333,80.0,66.66666666666666,86.66666666666667,86.66666666666667,40.0,66.66666666666666,73.33333333333333,20.0,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W39,2025-09-22,2025-09-26,V3_D_V2_CONFIRM,15,15,15,5,-0.023920393966965214,0.4251971413902767,-1.1090573012939031,46.666666666666664,5.367628511369441,-3.1310116906525645,60.0,60.0,53.333333333333336,60.0,66.66666666666666,93.33333333333333,80.0,66.66666666666666,46.666666666666664,60.0,26.666666666666668,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W40,2025-09-29,2025-10-02,V3_D_V2_CONFIRM,12,12,12,4,1.8934853089093255,9.835314960904865,9.991747212737888,83.33333333333334,13.480746306972788,-0.836683708282393,83.33333333333334,91.66666666666666,100.0,100.0,91.66666666666666,100.0,100.0,33.33333333333333,75.0,83.33333333333334,8.333333333333332,8.333333333333332,VERY_LOW_SAMPLE
week,2025-W41,2025-10-10,2025-10-10,V3_D_V2_CONFIRM,3,3,3,1,2.214734447984109,7.602628583634022,7.362784471218209,100.0,10.92293940065059,-2.4052066964324417,66.66666666666666,100.0,66.66666666666666,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,0.0,VERY_LOW_SAMPLE
week,2025-W42,2025-10-13,2025-10-17,V3_D_V2_CONFIRM,15,15,15,5,0.5693003988258316,2.199292963409049,1.0224948875255713,53.333333333333336,7.557174671553237,-3.6385235193317906,80.0,80.0,53.333333333333336,60.0,53.333333333333336,93.33333333333333,86.66666666666667,73.33333333333333,53.333333333333336,60.0,13.333333333333334,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W43,2025-10-20,2025-10-24,V3_D_V2_CONFIRM,15,15,15,5,0.41879449026486726,3.46972558512191,2.655771195097034,80.0,7.9921108225885655,-2.6174034797091603,53.333333333333336,46.666666666666664,53.333333333333336,60.0,80.0,93.33333333333333,86.66666666666667,53.333333333333336,53.333333333333336,66.66666666666666,33.33333333333333,0.0,VERY_LOW_SAMPLE
week,2025-W44,2025-10-27,2025-10-31,V3_D_V2_CONFIRM,15,15,15,5,2.6749061892499606,4.088370726166998,4.434072345390905,60.0,13.87397999976203,-4.515076183608723,86.66666666666667,73.33333333333333,73.33333333333333,66.66666666666666,60.0,100.0,100.0,66.66666666666666,73.33333333333333,73.33333333333333,6.666666666666667,20.0,VERY_LOW_SAMPLE
week,2025-W45,2025-11-03,2025-11-07,V3_D_V2_CONFIRM,15,15,15,5,25.942721653026123,29.258583833913193,0.7423117709437932,53.333333333333336,39.15997775932964,17.595386643251423,80.0,53.333333333333336,53.333333333333336,53.333333333333336,66.66666666666666,86.66666666666667,80.0,73.33333333333333,46.666666666666664,46.666666666666664,20.0,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W46,2025-11-10,2025-11-14,V3_D_V2_CONFIRM,15,15,15,5,0.43850306773520903,-0.06513906232431686,-0.38363171355498826,46.666666666666664,6.4963772418949555,-4.979231931138111,80.0,73.33333333333333,80.0,66.66666666666666,60.0,100.0,93.33333333333333,60.0,46.666666666666664,60.0,0.0,40.0,VERY_LOW_SAMPLE
week,2025-W47,2025-11-17,2025-11-21,V3_D_V2_CONFIRM,15,15,15,5,-1.6419574825944399,-2.933520211045782,-5.442902881536815,20.0,3.856745901051325,-9.108240502745913,66.66666666666666,40.0,33.33333333333333,26.666666666666668,26.666666666666668,80.0,60.0,93.33333333333333,20.0,20.0,33.33333333333333,46.666666666666664,VERY_LOW_SAMPLE
