period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status,overlap_group
overlap_group,EOD_V2_HUMAN,2025-06-11,2026-04-17,V3_B_WINRATE_ORIENTED,7,7,7,7,2.638616925853525,8.015284922694862,7.0574162679425845,57.14285714285714,19.00137136567881,-7.963496420029051,71.42857142857143,85.71428571428571,71.42857142857143,71.42857142857143,57.14285714285714,85.71428571428571,85.71428571428571,57.14285714285714,57.14285714285714,57.14285714285714,28.57142857142857,14.285714285714285,VERY_LOW_SAMPLE,EOD_V2_HUMAN
overlap_group,OTHER_MULTI,2025-05-14,2025-05-14,V3_B_WINRATE_ORIENTED,1,1,1,1,2.076677316293929,24.920127795527147,24.920127795527147,100.0,25.559105431309902,-0.6389776357827448,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,VERY_LOW_SAMPLE,OTHER_MULTI
overlap_group,OTHER_SINGLE,2025-04-01,2026-05-19,V3_B_WINRATE_ORIENTED,26,26,26,17,-0.2673292249076497,4.004921254232448,0.5802269115505299,53.84615384615385,13.135527084522352,-7.270235603235016,73.07692307692307,65.38461538461539,73.07692307692307,69.23076923076923,69.23076923076923,96.15384615384616,92.3076923076923,80.76923076923077,38.46153846153847,38.46153846153847,26.923076923076923,34.61538461538461,LOW_SAMPLE,OTHER_SINGLE
overlap_group,V2_ONLY_OR_WITH_SECONDARY,2025-04-29,2026-05-14,V3_B_WINRATE_ORIENTED,349,349,349,237,3.936656068255708,6.9110169031833,1.1173184357541999,58.45272206303726,13.554032332675984,-1.1553768530125723,69.05444126074498,63.89684813753582,63.61031518624641,65.0429799426934,63.03724928366762,91.11747851002865,85.67335243553008,63.89684813753582,54.72779369627507,60.74498567335244,23.78223495702006,15.472779369627506,OK,V2_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_HUMAN,2025-04-02,2026-05-12,V3_C_RISK_CONTROL,233,233,233,233,1.2841417828002097,5.218477952420959,2.2115384615384537,60.51502145922747,12.433502161424354,-5.0297439239772155,66.95278969957081,67.81115879828327,65.66523605150213,65.66523605150213,64.37768240343348,88.41201716738198,82.83261802575107,62.66094420600859,42.06008583690987,52.36051502145923,22.317596566523605,24.892703862660944,OK,EOD_HUMAN
overlap_group,EOD_ONLY_OR_WITH_SECONDARY,2025-04-02,2026-05-28,V3_C_RISK_CONTROL,146,143,131,126,0.5289263405428806,1.985218101678266,1.6694490818029983,58.778625954198475,10.144962546889253,-5.271213785604401,70.62937062937063,61.42857142857143,62.77372262773723,63.43283582089553,63.358778625954194,87.78625954198473,81.67938931297711,61.06870229007634,46.85314685314685,54.961832061068705,25.190839694656486,19.84732824427481,OK,EOD_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_V2,2025-05-07,2026-04-28,V3_C_RISK_CONTROL,35,35,35,33,1.5926996987846616,1.1728367677457028,0.8968609865470878,54.285714285714285,10.04444433103781,-6.155969701625345,85.71428571428571,65.71428571428571,62.857142857142854,65.71428571428571,62.857142857142854,94.28571428571428,91.42857142857143,62.857142857142854,57.14285714285714,57.14285714285714,14.285714285714285,28.57142857142857,LOW_SAMPLE,EOD_V2
overlap_group,EOD_V2_HUMAN,2025-06-11,2026-04-17,V3_C_RISK_CONTROL,7,7,7,7,2.638616925853525,8.015284922694862,7.0574162679425845,57.14285714285714,19.00137136567881,-7.963496420029051,71.42857142857143,85.71428571428571,71.42857142857143,71.42857142857143,57.14285714285714,85.71428571428571,85.71428571428571,57.14285714285714,57.14285714285714,57.14285714285714,28.57142857142857,14.285714285714285,VERY_LOW_SAMPLE,EOD_V2_HUMAN
overlap_group,OTHER_MULTI,2025-05-14,2026-05-19,V3_C_RISK_CONTROL,31,31,31,30,-1.6421161445033245,2.904191773641819,-0.35149384885764245,45.16129032258064,15.077498841131755,-9.51869165851537,64.51612903225806,54.83870967741935,61.29032258064516,54.83870967741935,58.06451612903226,83.87096774193549,83.87096774193549,83.87096774193549,25.806451612903224,25.806451612903224,35.483870967741936,38.70967741935484,LOW_SAMPLE,OTHER_MULTI
overlap_group,OTHER_SINGLE,2025-04-01,2026-05-19,V3_C_RISK_CONTROL,36,36,36,20,-0.17925903744917568,3.464003114713917,0.5802269115505299,55.55555555555556,11.845039663959593,-6.423587551582148,75.0,61.111111111111114,75.0,69.44444444444444,66.66666666666666,94.44444444444444,91.66666666666666,75.0,44.44444444444444,44.44444444444444,25.0,30.555555555555557,LOW_SAMPLE,OTHER_SINGLE
overlap_group,V2_ONLY_OR_WITH_SECONDARY,2025-04-29,2026-05-14,V3_C_RISK_CONTROL,358,358,358,239,4.167590828140978,6.739849891277832,1.4905176418314459,60.05586592178771,13.304275482127135,-1.0570596258293077,73.74301675977654,67.31843575418995,67.0391061452514,67.87709497206704,65.92178770949721,94.1340782122905,89.66480446927375,60.33519553072626,59.77653631284916,65.92178770949721,18.994413407821227,15.083798882681565,OK,V2_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_HUMAN,2025-04-02,2026-05-19,V3_D_V2_CONFIRM,180,180,180,180,0.7589145945573486,5.5686447497604235,2.805483309655288,63.888888888888886,11.125121028530872,-4.282903582555015,62.77777777777778,66.11111111111111,64.44444444444444,66.11111111111111,68.33333333333333,87.77777777777777,80.55555555555556,59.44444444444444,41.66666666666667,54.44444444444444,23.88888888888889,21.11111111111111,OK,EOD_HUMAN
overlap_group,EOD_ONLY_OR_WITH_SECONDARY,2025-04-02,2026-05-28,V3_D_V2_CONFIRM,43,40,28,25,0.5852107058539928,-2.1904039177949675,-1.4996260284218355,39.285714285714285,9.46214324628435,-6.511724287465586,77.5,56.75675675675676,50.0,45.16129032258064,39.285714285714285,82.14285714285714,71.42857142857143,71.42857142857143,45.0,53.57142857142857,28.57142857142857,17.857142857142858,LOW_SAMPLE,EOD_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_V2,2025-04-30,2026-04-28,V3_D_V2_CONFIRM,46,46,46,43,0.5119672698479463,1.659928235253538,1.5491866007999233,56.52173913043478,10.926871643016977,-6.517036293763305,84.78260869565217,63.04347826086957,63.04347826086957,65.21739130434783,63.04347826086957,93.47826086956522,91.30434782608695,67.3913043478261,50.0,50.0,15.217391304347828,34.78260869565217,LOW_SAMPLE,EOD_V2
overlap_group,EOD_V2_HUMAN,2025-06-11,2026-04-17,V3_D_V2_CONFIRM,7,7,7,7,2.638616925853525,8.015284922694862,7.0574162679425845,57.14285714285714,19.00137136567881,-7.963496420029051,71.42857142857143,85.71428571428571,71.42857142857143,71.42857142857143,57.14285714285714,85.71428571428571,85.71428571428571,57.14285714285714,57.14285714285714,57.14285714285714,28.57142857142857,14.285714285714285,VERY_LOW_SAMPLE,EOD_V2_HUMAN
overlap_group,OTHER_SINGLE,2025-04-01,2026-05-19,V3_D_V2_CONFIRM,30,30,30,17,-0.4848461865271185,3.218280624494241,0.5802269115505299,53.333333333333336,11.99880074663792,-7.056058298530443,70.0,63.33333333333333,73.33333333333333,66.66666666666666,66.66666666666666,93.33333333333333,90.0,80.0,36.666666666666664,36.666666666666664,30.0,33.33333333333333,LOW_SAMPLE,OTHER_SINGLE
overlap_group,V2_ONLY_OR_WITH_SECONDARY,2025-04-29,2026-05-14,V3_D_V2_CONFIRM,540,540,540,250,3.760018900516764,6.073689005934086,1.2064148087781557,57.407407407407405,12.687995809186868,-1.5791048407982864,70.0,64.25925925925927,62.22222222222222,64.25925925925927,63.70370370370371,90.18518518518519,84.44444444444444,62.40740740740741,55.74074074074075,62.03703703703704,22.407407407407405,15.555555555555555,OK,V2_ONLY_OR_WITH_SECONDARY
