signal_date,strategy,strategy_label,buy_day,selected_stock_count,capital_return_h5_close_pct,equity_h5_close,cum_return_h5_close_pct,drawdown_pct,selected_stock_names,recent20_risk_state,no_trade_bad_day
2025-07-04,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,2.630272735245115,1.1089814517657082,10.898145176570818,-32.607279940202275,삼성전자 | 지에프씨생명과학,False,True
2025-07-07,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,9.96943018315406,1.2195405833436188,21.954058334361882,-25.888609765312275,삼성전자 | 지에프씨생명과학,False,True
2025-07-08,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,7.296406343080397,1.3085232198231422,30.852321982314223,-20.481141587283457,삼성전자 | 지에프씨생명과학,False,True
2025-07-09,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,0.18922550937728344,1.3109992795511725,31.099927955117245,-20.330671622401,삼성전자 | 지에프씨생명과학,False,True
2025-07-10,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,3.6194995685936133,1.3584508928187926,35.84508928187926,-17.447040625472365,삼성전자 | 지에프씨생명과학,False,True
2025-07-11,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.583073458073458,1.3799561683439687,37.99561683439687,-16.140166636760068,지에프씨생명과학 | 삼성전자,False,True
2025-07-14,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-0.9187301587301588,1.3672780948481356,36.727809484813555,-16.910612216929,지에프씨생명과학 | 삼성전자,True,True
2025-07-15,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,0.27097307281033767,1.3709830503156082,37.09830503156082,-16.68546234967392,삼성전자 | 두산에너빌리티,True,True
2025-07-16,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.634655481148961,1.3933938998932156,39.33938998932156,-15.323556693378947,삼성전자 | 두산에너빌리티,True,False
2025-07-17,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,1.238686614778789,1.4106536836223371,41.06536836223371,-14.274680924269067,삼성전자 | 두산에너빌리티,True,True
2025-07-18,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,0.038930045702490035,1.4112028517460753,41.12028517460753,-14.241308018374276,삼성전자 | 두산에너빌리티,True,False
2025-07-21,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,-1.5965050942182035,1.3886729263281967,38.86729263281967,-15.610449904595825,삼성전자 | 두산에너빌리티,True,True
2025-07-22,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,True,2,5.3972192957868925,1.4636226494633506,46.36226494633506,-11.055760823218929,삼성전자 | 두산에너빌리티,False,False
