window_id,window_label,strategy,strategy_label,signal_days,buy_days,no_trade_days,selected_stock_exposure_count,avg_selected_stock_count_on_buy_days,avg_ret_h5_close,median_ret_h5_close,h5_close_win_rate,h5_close_loss_rate,avg_d1_open_return,avg_ret_d1_close,avg_d1_1500_return,d1_plus1_touch_rate,d1_plus13_touch_rate,d1_plus2_touch_rate,d1_minus2_touch_rate,d1_plus13_before_minus2_rate,d1_minus2_before_plus13_rate,d1_fast_fail_rate,h5_plus2_touch_rate,h5_minus2_touch_rate,cum_d5_plus13_touch_rate,cum_d5_minus2_touch_rate,cum_d5_plus13_before_minus2_rate,cum_d5_minus2_before_plus13_rate,cum_d5_same_day_ambiguous_rate,avg_h5_mfe_pct,avg_h5_mae_pct,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,avg_exit_13_m2_pct,avg_exit_20_m2_pct,exit_13_m2_win_rate,exit_20_m2_win_rate,h5_close_total_return_equity_pct,h5_close_mdd_pct,max_losing_streak_buy_days,hit_best_of_top3_rate,hit_worst_of_top3_rate,recent20_risk_state_days,bad_day_filter_days,window_signal_date_min,window_signal_date_max
RECENT_60_SIGNAL_DAYS,최근 60 신호일,HUMAN_PROXY_RISK_OFF,"Human proxy, but no-trade on recent20 risk state",60,17,43,17,1.0,1.7367790257212428,-4.012774022175458,41.17647058823529,58.82352941176471,0.6909245085324421,0.04142753342067101,0.3568041754859955,70.58823529411765,64.70588235294117,58.82352941176471,76.47058823529412,41.17647058823529,58.82352941176471,35.294117647058826,82.35294117647058,88.23529411764706,82.35294117647058,88.23529411764706,23.52941176470588,35.294117647058826,41.17647058823529,15.674854587735076,-14.094216736160506,15.674854587735076,-14.094216736160506,-0.6411764705882352,-0.35294117647058826,41.17647058823529,41.17647058823529,1.158429741725353,-56.749844728788766,5,35.294117647058826,41.17647058823529,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,NO_TRADE_BAD_DAY_FILTER,"Top3 equal weight, but skips weak/risk days",60,27,33,81,3.0,0.7694851971487927,-2.2943446042072138,44.44444444444444,55.55555555555556,1.330414294464022,0.6656527366730557,0.8993374926182425,82.71604938271606,77.77777777777779,70.37037037037037,71.60493827160494,61.72839506172839,37.03703703703704,22.222222222222218,87.65432098765432,87.65432098765432,90.12345679012347,87.65432098765432,28.39506172839506,22.222222222222218,49.382716049382715,16.62388656204497,-11.791790414996308,16.62388656204497,-11.791790414996308,0.057407407407407414,0.2751972794003184,59.25925925925925,51.85185185185185,-2.755016034185831,-49.406677589730485,5,33.33333333333334,33.33333333333334,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,60,60,0,60,1.0,17.70842563510859,16.022808267997146,80.0,20.0,1.7364158142713633,2.3427382602859277,2.4536049470577668,86.66666666666667,83.33333333333334,73.33333333333333,60.0,63.33333333333333,35.0,16.666666666666664,96.66666666666667,68.33333333333333,98.33333333333333,68.33333333333333,40.0,16.666666666666664,43.333333333333336,30.314674389511847,-6.271839382957188,30.598424215003956,-6.271839382957188,0.12542372881355932,0.3728813559322034,63.33333333333333,58.333333333333336,737040.5408801659,-32.91787453031419,4,100.0,0.0,43,33,2026-02-20,2026-05-19
RECENT_60_SIGNAL_DAYS,최근 60 신호일,WORST_OF_TOP3_ORACLE,Post-outcome worst of top3; manual error floor reference,60,60,0,60,1.0,-10.564616613601114,-9.530936049331391,6.666666666666667,90.0,-0.13261654389974842,-2.9279793823794864,-2.597403388922673,73.33333333333333,68.33333333333333,65.0,83.33333333333334,48.333333333333336,51.66666666666667,31.666666666666664,76.66666666666667,98.33333333333333,80.0,98.33333333333333,16.666666666666664,31.666666666666664,51.66666666666667,7.057429569493072,-16.459467707011058,7.082351687873136,-16.487505090188627,-0.405,-0.3333333333333333,48.333333333333336,41.66666666666667,-99.91117754256165,-99.91117754256165,15,0.0,100.0,43,33,2026-02-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,MECHANICAL_TOP1,Bell Watch rank 1 only,120,120,0,120,1.0,5.307931335478165,3.1182227121067663,61.66666666666667,38.333333333333336,0.5480891450775263,0.5160599781430769,0.7883113192561206,79.16666666666666,77.5,70.83333333333334,61.66666666666667,56.666666666666664,40.0,20.0,90.0,75.83333333333333,94.16666666666667,75.83333333333333,38.333333333333336,20.0,41.66666666666667,16.259831848082808,-8.072298424096012,16.367374085999995,-8.072298424096012,-0.07275433153300029,0.02383850477309054,56.666666666666664,49.166666666666664,10470.77234346007,-67.22712572510518,5,46.666666666666664,28.333333333333332,67,52,2025-11-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,120,120,0,240,2.0,3.151729262363851,1.9745114557788908,60.83333333333333,39.166666666666664,0.5340343515560828,0.6751496441576103,0.8409586446450393,79.16666666666666,77.91666666666667,70.0,62.5,60.416666666666664,37.5,20.416666666666668,90.0,78.33333333333333,92.91666666666667,78.33333333333333,37.5,20.416666666666668,42.083333333333336,15.105405900375404,-8.724427749557139,15.165407548929014,-8.73143709535153,0.03549383708766891,0.14970447322119546,45.0,35.0,1892.517821248871,-55.245421555367315,6,34.166666666666664,34.583333333333336,67,52,2025-11-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,MECHANICAL_TOP3,Bell Watch top3 equal weight,120,120,0,360,3.0,3.3591362610751503,2.3018245462052427,65.0,35.0,0.5673720570078481,0.5263973617405119,0.6333375384584119,78.6111111111111,76.66666666666667,68.05555555555554,64.44444444444444,60.0,38.61111111111111,22.222222222222225,89.16666666666667,78.88888888888889,91.94444444444444,78.88888888888889,35.55555555555555,22.222222222222225,42.222222222222214,15.289218335463271,-8.611963120210259,15.347775439897124,-8.616636017406522,0.003245891391779269,0.1470915676613051,60.83333333333333,50.83333333333333,2935.617097248674,-51.042424543163165,5,33.33333333333333,33.33333333333333,67,52,2025-11-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,HUMAN_PROXY_A,Pre-outcome checklist proxy picks one from top3,120,120,0,120,1.0,6.1862611454871885,1.8787160906726053,54.166666666666664,45.0,0.9746528322551398,1.962763459593113,2.0207825248442486,76.66666666666667,75.83333333333333,69.16666666666667,64.16666666666667,60.0,39.166666666666664,23.333333333333332,90.83333333333333,78.33333333333333,91.66666666666666,78.33333333333333,35.833333333333336,23.333333333333332,40.833333333333336,17.944967559897837,-8.237051871399895,18.052509797815024,-8.237051871399895,-0.0037305370193834917,0.20156789928778238,60.0,54.166666666666664,21110.073196151712,-66.76123415669203,6,38.333333333333336,29.166666666666668,67,52,2025-11-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,HUMAN_PROXY_RISK_OFF,"Human proxy, but no-trade on recent20 risk state",120,53,67,53,1.0,5.919989570494412,2.2115384615384537,52.83018867924528,47.16981132075472,0.39760567034561584,2.0759606151019576,2.1936262845750316,73.58490566037736,71.69811320754717,64.15094339622641,64.15094339622641,54.71698113207547,43.39622641509434,26.41509433962264,88.67924528301887,79.24528301886792,88.67924528301887,79.24528301886792,35.84905660377358,26.41509433962264,37.735849056603776,16.313196383688844,-8.134368672825952,16.313196383688844,-8.134368672825952,-0.15750310268539663,0.01102981180254482,54.71698113207547,49.056603773584904,1001.4644715137873,-56.749844728788766,6,35.84905660377358,32.075471698113205,67,52,2025-11-20,2026-05-19
RECENT_120_SIGNAL_DAYS,최근 120 신호일,NO_TRADE_BAD_DAY_FILTER,"Top3 equal weight, but skips weak/risk days",120,68,52,204,3.0,2.3888493592437743,1.2934557695191007,55.88235294117647,44.11764705882353,0.5977373165485889,0.7784383784842226,0.9263552234114596,78.92156862745097,76.96078431372547,67.15686274509802,61.76470588235294,60.29411764705882,37.254901960784316,21.07843137254902,87.74509803921568,78.4313725490196,92.15686274509804,78.4313725490196,38.23529411764706,21.07843137254902,40.686274509803916,14.208925487211575,-8.74939766446963,14.208925487211573,-8.74939766446963,0.03072804363255161,0.21198682788885403,63.23529411764706,54.41176470588235,246.89784558657792,-49.4066775897305,5,33.33333333333333,33.33333333333333,67,52,2025-11-20,2026-05-19
