signal_date,signal_month,strategy,strategy_label,selected_stock_count,selected_stock_codes,selected_stock_names,selected_ranks,recent20_risk_state,recent20_risk_reason,no_trade_bad_day,no_trade_reason,top3_stock_codes,top3_stock_names,buy_day,d1_open_return,ret_d1_close,d1_1500_return,d1_high_return,d1_low_return,ret_h5_close,h5_mfe_pct,h5_mae_pct,cum_d5_mfe_pct,cum_d5_mae_pct,d1_1500_exit_13_m2_pct,d1_1500_exit_20_m2_pct,d1_plus1_touch,d1_plus13_touch,d1_plus2_touch,d1_minus2_touch,d1_plus13_before_minus2_1500,d1_minus2_before_plus13_1500,d1_fast_fail,d1_direct_rise,h5_plus2_touch,h5_minus2_touch,cum_d5_plus13_touch,cum_d5_minus2_touch,cum_d5_plus13_before_minus2_by_day,cum_d5_minus2_before_plus13_by_day,cum_d5_same_day_ambiguous,hit_best_of_top3,hit_worst_of_top3,capital_return_h5_close_pct
2025-04-02,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 484810 | 463480,삼성전자 | 티엑스알로보틱스 | 모티브링크,True,-3.313508920985553,-2.1240441801189447,-2.633814783347499,-1.7841971112999122,-3.313508920985553,-9.940526762956669,-1.1045029736618472,-10.11045029736618,-1.1045029736618472,-10.11045029736618,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-9.940526762956669
2025-05-02,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,True,median_h5_close_negative,False,trade_allowed,005930 | 081180 | 010140,삼성전자 | 쎄크 | 삼성중공업,True,0.5535055350553542,0.7380073800737907,0.5535055350553542,1.4760147601476037,0.1845018450184588,4.981549815498165,7.380073800738018,0.1845018450184588,7.380073800738018,0.1845018450184588,1.3,0.5535055350553542,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.981549815498165
2025-05-07,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,True,median_h5_close_negative,True,recent20_risk_plus_weak_candidate,005930 | 081180 | 010140,삼성전자 | 쎄크 | 삼성중공업,True,1.1009174311926495,0.18348623853210455,0.18348623853210455,1.83486238532109,0.0,5.321100917431187,6.788990825688068,-0.18348623853210455,6.788990825688068,-0.1834862385321045,1.3,0.18348623853210455,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.321100917431187
2025-05-08,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,True,median_h5_close_negative,False,trade_allowed,005930 | 081180 | 010140,삼성전자 | 쎄크 | 삼성중공업,True,0.1831501831501825,0.366300366300365,0.45787545787545625,0.73260073260073,-0.366300366300365,4.94505494505495,7.326007326007322,-0.366300366300365,7.326007326007322,-0.366300366300365,0.45787545787545625,0.45787545787545625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.94505494505495
2025-05-09,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,True,median_h5_close_negative,True,recent20_risk_plus_weak_candidate,005930 | 081180 | 389140,삼성전자 | 쎄크 | 포바이포,True,0.6381039197812299,5.013673655423889,4.284412032816776,5.013673655423889,0.27347310847767314,3.555150410209662,6.836827711941651,0.27347310847767314,6.836827711941651,0.2734731084776731,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.555150410209662
2025-05-12,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,081180,쎄크,2,True,median_h5_close_negative,True,recent20_risk_plus_weak_candidate,005930 | 081180 | 389140,삼성전자 | 쎄크 | 포바이포,True,4.259776536312843,-0.7681564245810013,0.41899441340782495,6.00558659217878,-0.9078212290502763,5.16759776536313,14.804469273743015,-5.027932960893855,14.804469273743017,-5.027932960893855,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.16759776536313
2025-05-13,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,081180,쎄크,2,True,median_h5_close_negative,True,weak_candidates_ge_2;recent20_risk_plus_weak_candidate,005930 | 081180 | 389140,삼성전자 | 쎄크 | 포바이포,True,-1.2517385257301838,0.9040333796940248,-0.3477051460361591,1.182197496522952,-4.033379694019468,-0.1390820584144636,14.325452016689844,-5.424200278164115,14.325452016689844,-5.424200278164115,-2.0,-2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1390820584144636
2025-05-14,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,081180,쎄크,2,True,median_h5_close_negative,True,weak_candidates_ge_2;recent20_risk_plus_weak_candidate,005930 | 081180 | 389140,삼성전자 | 쎄크 | 포바이포,True,4.605722260990919,6.071179344033495,5.861828332170282,14.724354501046765,0.6280530355896818,3.8381018841591175,14.724354501046765,-5.094207955338447,14.724354501046763,-5.094207955338447,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.8381018841591175
2025-05-15,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,034020,두산에너빌리티,3,True,median_h5_close_negative,False,trade_allowed,005930 | 459510 | 034020,삼성전자 | 나우로보틱스 | 두산에너빌리티,True,2.0440251572326984,7.8616352201257955,7.232704402515733,9.276729559748432,0.3144654088050425,20.28301886792452,23.584905660377366,0.3144654088050425,23.58490566037737,0.3144654088050425,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,20.28301886792452
2025-05-16,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,459510,나우로보틱스,3,True,median_h5_close_negative,False,trade_allowed,005930 | 376900 | 459510,삼성전자 | 로킷헬스케어 | 나우로보틱스,True,-1.8072289156626509,-10.040160642570283,-9.236947791164663,-1.4056224899598346,-11.646586345381527,9.036144578313255,31.92771084337349,-16.465863453815267,31.92771084337349,-16.465863453815267,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,9.036144578313255
2025-05-19,2025-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,034020,두산에너빌리티,2,True,median_h5_close_negative,False,trade_allowed,005930 | 034020 | 376900,삼성전자 | 두산에너빌리티 | 로킷헬스케어,True,-0.5772005772005762,7.3593073593073655,7.14285714285714,7.647907647907637,-0.8658008658008698,19.76911976911977,23.665223665223657,-0.8658008658008698,23.665223665223657,-0.8658008658008698,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,19.76911976911977
