strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,direction,threshold_pct,eligible_rows,single_day_touch_rate_pct,cum_touch_rate_pct,close_at_horizon_rate_pct,close_at_horizon_avg_pct,close_at_horizon_median_pct
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,plus,2.0,749,59.546061415220294,80.10680907877169,43.65821094793058,14.786250668326213,0.454545454545463
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,plus,3.0,749,55.80774365821095,73.9652870493992,40.053404539385845,14.786250668326213,0.454545454545463
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,minus,-1.0,749,57.27636849132176,76.90253671562083,45.52736982643525,14.786250668326213,0.454545454545463
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,minus,-2.0,749,52.87049399198932,71.42857142857143,42.323097463284384,14.786250668326213,0.454545454545463
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,minus,-3.0,749,48.46461949265687,65.42056074766354,38.45126835781041,14.786250668326213,0.454545454545463
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,plus,1.0,749,59.546061415220294,85.98130841121495,47.53004005340454,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,plus,1.3,749,58.87850467289719,84.64619492656877,45.92790387182911,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,plus,2.0,749,55.80774365821095,81.70894526034714,43.257676902536716,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,plus,3.0,749,52.336448598130836,76.63551401869158,40.85447263017357,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,minus,-1.0,749,56.074766355140184,78.90520694259013,46.32843791722296,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,minus,-2.0,749,51.53538050734312,73.29773030707611,43.1241655540721,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,minus,-3.0,749,48.598130841121495,67.55674232309747,40.053404539385845,15.342906101722736,0.08818342151675207
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,plus,1.0,749,59.279038718291055,87.18291054739653,47.53004005340454,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,plus,1.3,749,58.47797062750334,85.84779706275033,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,plus,2.0,749,57.14285714285714,83.71161548731642,45.12683578104139,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,plus,3.0,749,55.140186915887845,79.30574098798398,42.72363150867824,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,minus,-1.0,749,54.73965287049399,80.50734312416556,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,minus,-2.0,749,51.134846461949266,75.16688918558077,45.26034712950601,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+5,minus,-3.0,749,49.13217623497997,69.42590120160213,42.323097463284384,15.986990190182023,0.15313935681469104
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,plus,1.0,828,74.51690821256038,74.51690821256038,38.164251207729464,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,plus,1.3,828,70.28985507246377,70.28985507246377,35.02415458937198,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,plus,2.0,828,59.05797101449275,59.05797101449275,29.468599033816425,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,plus,3.0,828,44.806763285024154,44.806763285024154,24.516908212560388,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,minus,-1.0,828,65.09661835748793,65.09661835748793,38.88888888888889,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,minus,-2.0,828,51.690821256038646,51.690821256038646,28.140096618357486,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1,minus,-3.0,828,37.56038647342995,37.56038647342995,20.652173913043477,0.2498833963194988,0.10427936866943543
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,plus,1.0,828,64.61352657004831,82.2463768115942,45.289855072463766,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,plus,1.3,828,62.19806763285024,79.34782608695652,42.149758454106276,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,plus,2.0,828,56.88405797101449,71.61835748792271,38.04347826086957,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,plus,3.0,828,47.94685990338164,59.54106280193236,31.280193236714975,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,minus,-1.0,828,58.212560386473434,72.34299516908213,41.78743961352657,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,minus,-2.0,828,49.39613526570048,62.19806763285024,34.66183574879227,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+2,minus,-3.0,828,41.18357487922705,48.792270531400966,26.32850241545894,0.7567123405689427,0.16991478516077407
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,plus,1.0,828,63.28502415458937,86.59420289855072,47.70531400966183,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,plus,1.3,828,61.71497584541063,84.90338164251207,45.04830917874396,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,plus,2.0,828,57.125603864734295,78.14009661835749,41.908212560386474,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,plus,3.0,828,50.0,68.11594202898551,37.19806763285024,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,minus,-1.0,828,55.91787439613527,75.84541062801932,41.06280193236715,1.1259539605347402,0.592007461395816
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+3,minus,-2.0,828,48.309178743961354,66.78743961352657,35.38647342995169,1.1259539605347402,0.592007461395816
