v3_variant,signal_date,eod_count,v3_count,overlap_count,eod_only_count,v3_only_count,overlap_codes,eod_only_codes,v3_only_codes
V3_D_V2_CONFIRM,2025-10-02,3,3,1,2,2,005930,034020|249420,062040|352820
V3_D_V2_CONFIRM,2025-10-10,3,3,2,1,1,005930|034020,249420,005490
V3_D_V2_CONFIRM,2025-10-13,3,3,1,2,2,034020,005930|249420,003230|062040
V3_D_V2_CONFIRM,2025-10-14,3,3,1,2,2,005930,034020|249420,003230|097230
V3_D_V2_CONFIRM,2025-10-15,3,3,2,1,1,005930|034020,249420,064260
V3_D_V2_CONFIRM,2025-10-16,3,3,1,2,2,005930,034020|249420,003230|035720
V3_D_V2_CONFIRM,2025-10-17,3,3,1,2,2,005930,034020|249420,003230|035720
V3_D_V2_CONFIRM,2025-10-20,3,3,2,1,1,005930|034020,249420,003230
V3_D_V2_CONFIRM,2025-10-21,3,3,1,2,2,005930,034020|466100,003230|483650
V3_D_V2_CONFIRM,2025-10-22,3,3,1,2,2,005930,034020|090710,003230|489790
V3_D_V2_CONFIRM,2025-10-23,3,3,2,1,1,005930|034020,090710,003230
V3_D_V2_CONFIRM,2025-10-24,3,3,2,1,1,005930|034020,466100,003230
V3_D_V2_CONFIRM,2025-10-27,3,3,2,1,1,005930|034020,466100,003230
V3_D_V2_CONFIRM,2025-10-28,3,3,2,1,1,010140|034020,005930,003230
V3_D_V2_CONFIRM,2025-10-29,3,3,0,3,3,,005930|034020|336260,003230|010140|249420
V3_D_V2_CONFIRM,2025-10-30,3,3,2,1,1,005930|034020,035720,249420
V3_D_V2_CONFIRM,2025-10-31,3,3,2,1,1,005930|034020,035720,005690
V3_D_V2_CONFIRM,2025-11-03,3,3,3,0,0,005930|034020|035720,,
V3_D_V2_CONFIRM,2025-11-04,3,3,2,1,1,005930|034020,035720,049630
V3_D_V2_CONFIRM,2025-11-05,3,3,1,2,2,034020,005930|486990,380550|383220
V3_D_V2_CONFIRM,2025-11-06,3,3,2,1,1,005930|034020,486990,380550
V3_D_V2_CONFIRM,2025-11-07,3,3,0,3,3,,005930|034020|098460,272210|329180|443060
V3_D_V2_CONFIRM,2025-11-10,3,3,1,2,2,098460,034020|486990,010130|259960
V3_D_V2_CONFIRM,2025-11-11,3,3,0,3,3,,034020|098460|486990,064350|161890|192820
V3_D_V2_CONFIRM,2025-11-12,3,3,0,3,3,,034020|098460|486990,017960|064350|483650
V3_D_V2_CONFIRM,2025-11-13,3,3,0,3,3,,015760|035720|486990,064350|278470|483650
V3_D_V2_CONFIRM,2025-11-14,3,3,0,3,3,,035720|466100|486990,064350|278470|443060
V3_D_V2_CONFIRM,2025-11-17,3,3,0,3,3,,035720|466100|486990,017960|064350|278470
V3_D_V2_CONFIRM,2025-11-18,3,3,0,3,3,,015760|035720|486990,012450|064350|272210
V3_D_V2_CONFIRM,2025-11-19,3,3,0,3,3,,015760|035720|486990,012450|042660|278470
V3_D_V2_CONFIRM,2025-11-20,3,3,0,3,3,,015760|035720|486990,012450|034020|064350
V3_D_V2_CONFIRM,2025-11-21,3,3,0,3,3,,015760|035720|486990,012450|034020|042660
V3_D_V2_CONFIRM,2025-11-24,3,3,0,3,3,,015760|035720|098460,012450|034020|042660
V3_D_V2_CONFIRM,2025-11-25,3,3,0,3,3,,005930|015760|035720,034020|042660|267260
V3_D_V2_CONFIRM,2025-11-26,3,3,0,3,3,,005930|015760|486990,012450|042660|298040
V3_D_V2_CONFIRM,2025-11-27,3,3,1,2,2,005930,015760|486990,012450|064350
V3_D_V2_CONFIRM,2025-11-28,3,3,1,2,2,005930,424870|486990,012450|064350
V3_D_V2_CONFIRM,2025-12-01,3,3,1,2,2,098460,005930|486990,267260|298040
V3_D_V2_CONFIRM,2025-12-02,3,3,1,2,2,098460,005930|486990,064350|298040
V3_D_V2_CONFIRM,2025-12-03,3,3,1,2,2,005930,098460|486990,064350|298040
V3_D_V2_CONFIRM,2025-12-04,3,3,0,3,3,,005930|466100|486990,064350|128940|298040
V3_D_V2_CONFIRM,2025-12-05,3,3,1,2,2,005930,030530|486990,042660|128940
V3_D_V2_CONFIRM,2025-12-08,3,3,0,3,3,,005930|466100|486990,003530|006040|128940
V3_D_V2_CONFIRM,2025-12-09,3,3,1,2,2,466100,005930|486990,003530|051900
V3_D_V2_CONFIRM,2025-12-10,3,3,1,2,2,466100,098460|486990,051900|251270
