candidate_source,score_variant_id,score_policy,signal_date,signal_time,raw_rank,rank_v2,stock_code,code,stock_name,name,market,score_coverage_pct,score_confidence_pct,d0_close,price_1415,d0_high,d0_volume,volume_1415_or_daily,d0_trading_value,d0_pct_change,change_rate_1415,d0_date,trading_day_age,days_after_D0,watch_age,legacy_d0_rank,legacy_d0_volume_rank,legacy_d0_trading_value_rank,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,event_id,program_buy_feature_used,passed_d0_filter,source_pool,metadata_version,score_base_time,entry_base_time,price_source,score_total_100,component_candle_score,component_pullback_score,component_short_score,component_liquidity_score,component_risk_penalty_norm,d0_pullback_depth_pct,d0_volume_filter_pass,d0_amount_limit_pass,d0_change_filter_pass,score_v2,daily_latest_date,minute_latest_date,entry_time,entry_price_1500,entry_status,status,exclude_reason,source_pool_size,scored_pool_size,excluded_reason
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,28,28,008350,008350,남선알미늄,남선알미늄,KOSPI,70.0,70.0,2035.0,2035.0,2255.0,51588385.0,51588385.0,104982363475.0,5.659,5.659,2026-05-14,1,1,D+1,10,2,81,-9.756,3.167,0.679,20260515_008350_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,26.0702,0.0847,0.3539,0.5,0.6106,0.35,9.756,True,True,True,26.0702,2026-05-15,2026-05-15,2026-05-15 15:00:00,1799.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,29,29,090710,090710,휴림로봇,휴림로봇,KOSDAQ,70.0,70.0,13080.0,13080.0,14690.0,47507868.0,47507868.0,621402913440.0,3.563,3.563,2026-05-15,0,0,D0,2,4,10,-10.96,3.262,0.813,20260515_090710_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,26.0132,0.0466,0.2966,0.5,0.9967,0.35,10.96,True,True,True,26.0132,2026-05-15,2026-05-15,2026-05-15 15:00:00,12730.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,30,30,081150,081150,티플랙스,티플랙스,KOSDAQ,70.0,70.0,4790.0,4790.0,5570.0,20922316.0,20922316.0,100217893640.0,11.525,11.525,2026-05-14,1,1,D+1,11,10,87,-14.004,8.487,0.624,20260515_081150_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,25.6744,0.1914,0.4414,0.5,0.6005,0.75,14.004,True,True,True,25.6744,2026-05-15,2026-05-15,2026-05-15 15:00:00,4125.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,31,31,003280,003280,흥아해운,흥아해운,KOSPI,70.0,70.0,2810.0,2810.0,3070.0,76473075.0,76473075.0,214889340750.0,2.93,2.93,2026-05-15,0,0,D0,6,1,38,-8.469,2.298,0.591,20260515_003280_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,25.1803,0.0351,0.3291,0.5,0.7661,0.35,8.469,True,True,True,25.1803,2026-05-15,2026-05-15,2026-05-15 15:00:00,2760.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,32,32,142210,142210,유니트론텍,유니트론텍,KOSDAQ,70.0,70.0,8090.0,8090.0,9000.0,12285541.0,12285541.0,99390026690.0,6.307,6.307,2026-05-13,2,2,D+2,8,24,75,-10.111,8.663,0.481,20260515_142210_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,24.09,0.1569,0.3465,0.5,0.5987,0.5,10.111,True,True,True,24.09,2026-05-15,2026-05-15,2026-05-15 15:00:00,7490.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,33,33,001780,001780,알루코,알루코,KOSPI,70.0,70.0,2900.0,2900.0,3170.0,13615035.0,13615035.0,39483601500.0,6.618,6.618,2026-05-14,1,1,D+1,16,22,180,-8.517,1.803,0.6,20260515_001780_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,23.1619,0.1021,0.3386,0.5,0.3982,0.35,8.517,True,True,True,23.1619,2026-05-15,2026-05-15,2026-05-15 15:00:00,2635.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,34,34,396300,396300,세아메카닉스,세아메카닉스,KOSDAQ,70.0,70.0,6220.0,6220.0,7340.0,11268394.0,11268394.0,70089410680.0,7.799,7.799,2026-05-15,0,0,D0,9,18,104,-15.259,2.845,0.675,20260515_396300_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,21.1367,0.1236,0.3568,0.5,0.5228,0.6,15.259,True,True,True,21.1367,2026-05-15,2026-05-15,2026-05-15 15:00:00,6160.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,35,35,253840,253840,수젠텍,수젠텍,KOSDAQ,70.0,70.0,7150.0,7150.0,7970.0,15107585.0,15107585.0,108019232750.0,4.38,4.38,2026-05-13,2,2,D+2,7,18,65,-10.289,2.687,0.655,20260515_253840_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,20.9504,0.0615,0.2774,0.5,0.6168,0.35,10.289,True,True,True,20.9504,2026-05-15,2026-05-15,2026-05-15 15:00:00,6620.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,36,36,018880,018880,한온시스템,한온시스템,KOSPI,70.0,70.0,5120.0,5120.0,5590.0,55935279.0,55935279.0,286388628480.0,2.4,2.4,2026-05-15,0,0,D0,4,2,23,-8.408,1.391,0.797,20260515_018880_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,19.3384,0.0255,0.2256,0.5,0.8285,0.35,8.408,True,True,True,19.3384,2026-05-15,2026-05-15,2026-05-15 15:00:00,5000.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,37,37,006340,006340,대원전선,대원전선,KOSPI,70.0,70.0,15590.0,15590.0,17120.0,12486498.0,12486498.0,194664503820.0,6.562,6.562,2026-05-14,1,1,D+1,6,25,39,-8.937,0.329,0.651,20260515_006340_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,17.583,0.1011,0.1846,0.5,0.7446,0.35,8.937,True,True,True,17.583,2026-05-15,2026-05-15,2026-05-15 15:00:00,13870.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,38,38,086960,086960,MDS테크,MDS테크,KOSDAQ,70.0,70.0,3435.0,3435.0,4070.0,24703375.0,24703375.0,84856093125.0,4.566,4.566,2026-05-14,1,1,D+1,13,9,105,-15.602,7.249,0.69,20260515_086960_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,14.729,0.0648,0.3148,0.5,0.5643,0.75,15.602,True,True,True,14.729,2026-05-15,2026-05-15,2026-05-15 15:00:00,3070.0,ok,excluded,outside_top3,43,43,
