candidate_source,score_variant_id,score_policy,signal_date,signal_time,raw_rank,rank_v2,stock_code,code,stock_name,name,market,score_coverage_pct,score_confidence_pct,d0_close,price_1415,d0_high,d0_volume,volume_1415_or_daily,d0_trading_value,d0_pct_change,change_rate_1415,d0_date,trading_day_age,days_after_D0,watch_age,legacy_d0_rank,legacy_d0_volume_rank,legacy_d0_trading_value_rank,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,event_id,program_buy_feature_used,passed_d0_filter,source_pool,metadata_version,score_base_time,entry_base_time,price_source,score_total_100,component_candle_score,component_pullback_score,component_short_score,component_liquidity_score,component_risk_penalty_norm,d0_pullback_depth_pct,d0_volume_filter_pass,d0_amount_limit_pass,d0_change_filter_pass,score_v2,daily_latest_date,minute_latest_date,entry_time,entry_price_1500,entry_status,status,exclude_reason,v2_rank,role,complete_through_day,future_missing_reason,dplus1_date,dplus1_minute_rows,dplus1_high_return_pct,dplus1_low_return_pct,dplus1_close_return_pct,dplus1_ge_plus1,dplus1_ge_plus2,dplus1_ge_plus3,dplus1_le_minus1,dplus1_le_minus2,dplus1_le_minus3,dplus2_date,dplus2_minute_rows,dplus2_high_return_pct,dplus2_low_return_pct,dplus2_close_return_pct,dplus2_ge_plus1,dplus2_ge_plus2,dplus2_ge_plus3,dplus2_le_minus1,dplus2_le_minus2,dplus2_le_minus3,dplus3_date,dplus3_minute_rows,dplus3_high_return_pct,dplus3_low_return_pct,dplus3_close_return_pct,dplus3_ge_plus1,dplus3_ge_plus2,dplus3_ge_plus3,dplus3_le_minus1,dplus3_le_minus2,dplus3_le_minus3,dplus4_date,dplus4_minute_rows,dplus4_high_return_pct,dplus4_low_return_pct,dplus4_close_return_pct,dplus4_ge_plus1,dplus4_ge_plus2,dplus4_ge_plus3,dplus4_le_minus1,dplus4_le_minus2,dplus4_le_minus3,dplus5_date,dplus5_minute_rows,dplus5_high_return_pct,dplus5_low_return_pct,dplus5_close_return_pct,dplus5_ge_plus1,dplus5_ge_plus2,dplus5_ge_plus3,dplus5_le_minus1,dplus5_le_minus2,dplus5_le_minus3
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-22,14:15,2,2,051980,051980,중앙첨단소재,중앙첨단소재,KOSDAQ,70.0,70.0,2810.0,2810.0,2925.0,43787018.0,43787018.0,123041520580.0,22.707,22.707,2025-07-21,1,1,D+1,5,2,17,-3.932,7.118,0.163,20250722_051980_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,79.9331,0.7359,0.9268,0.5,0.645,0.15,3.932,True,True,True,79.9331,2026-05-19,2026-05-19,2025-07-22 15:00:00,2945.0,ok,selected,,2,V2_TOP2,5,,2025-07-23,381,2.2071,-4.0747,-3.3956,Y,Y,N,Y,Y,Y,2025-07-24,378,25.4669,-6.7912,21.9015,Y,Y,Y,Y,Y,Y,2025-07-25,381,21.2224,10.1868,14.9406,Y,Y,Y,N,N,N,2025-07-28,381,18.1664,4.2445,4.9236,Y,Y,Y,N,N,N,2025-07-29,381,7.4703,0.5093,2.7165,Y,Y,Y,N,N,N
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-22,14:15,3,3,090460,090460,비에이치,비에이치,KOSPI,70.0,70.0,16600.0,16600.0,17300.0,14588496.0,14588496.0,242169033600.0,19.339,19.339,2025-07-22,0,0,D0,3,11,6,-4.046,14.97,0.26,20250722_090460_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,78.9704,0.6437,0.9178,0.5,0.7921,0.15,4.046,True,True,True,78.9704,2026-05-19,2026-05-19,2025-07-22 15:00:00,16780.0,ok,selected,,3,V2_TOP3,5,,2025-07-23,381,-3.2181,-8.5221,-3.7545,N,N,N,Y,Y,Y,2025-07-24,381,-3.8737,-10.0119,-8.4029,N,N,N,Y,Y,Y,2025-07-25,381,-8.0453,-11.7402,-11.4422,N,N,N,Y,Y,Y,2025-07-28,380,-9.8331,-12.8129,-11.2038,N,N,N,Y,Y,Y,2025-07-29,378,-11.323,-14.7199,-14.124,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-23,14:15,1,1,060250,060250,NHN KCP,NHN KCP,KOSDAQ,70.0,70.0,18150.0,18150.0,18380.0,14068312.0,14068312.0,255339862800.0,13.155,13.155,2025-07-22,1,1,D+1,2,12,5,-1.251,3.573,0.083,20250723_060250_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,84.8544,0.9196,0.8626,0.5,0.8036,0.0,1.251,True,True,True,84.8544,2026-05-19,2026-05-19,2025-07-23 15:00:00,18220.0,ok,selected,,1,V2_TOP1,5,,2025-07-24,381,-0.8233,-8.0132,-8.0132,N,N,N,Y,Y,Y,2025-07-25,381,-0.7684,-8.5071,-4.1712,N,N,N,Y,Y,Y,2025-07-28,381,-1.427,-8.0681,-7.5741,N,N,N,Y,Y,Y,2025-07-29,381,-0.6037,-7.8485,-7.3546,N,N,N,Y,Y,Y,2025-07-30,381,-5.3238,-11.6905,-11.1416,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-23,14:15,2,2,008970,008970,KBI동양철관,KBI동양철관,KOSPI,70.0,70.0,3676.0,3676.0,3837.0,148515731.0,148515731.0,545943827156.0,12.45,12.45,2025-07-23,0,0,D0,2,1,4,-4.196,3.271,0.372,20250723_008970_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,80.8194,0.536,0.906,0.5,0.9686,0.0,4.196,True,True,True,80.8194,2026-05-19,2026-05-19,2025-07-23 15:00:00,3716.0,ok,selected,,2,V2_TOP2,5,,2025-07-24,381,1.0226,-5.1938,-4.2788,Y,N,N,Y,Y,Y,2025-07-25,381,-1.9376,-4.9516,-3.6329,N,N,N,Y,Y,Y,2025-07-28,379,8.7729,-3.2293,2.5027,Y,Y,Y,Y,Y,Y,2025-07-29,381,5.2745,-1.4263,0.2691,Y,Y,Y,Y,N,N,2025-07-30,381,1.507,-2.5027,-2.5027,Y,N,N,Y,Y,N
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-23,14:15,3,3,051980,051980,중앙첨단소재,중앙첨단소재,KOSDAQ,70.0,70.0,2810.0,2810.0,2925.0,43787018.0,43787018.0,123041520580.0,22.707,22.707,2025-07-21,2,2,D+2,5,2,17,-3.932,7.118,0.163,20250723_051980_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,79.9331,0.7359,0.9268,0.5,0.645,0.15,3.932,True,True,True,79.9331,2026-05-19,2026-05-19,2025-07-23 15:00:00,2835.0,ok,selected,,3,V2_TOP3,5,,2025-07-24,378,30.3351,-3.1746,26.6314,Y,Y,Y,Y,Y,Y,2025-07-25,381,25.9259,14.4621,19.4004,Y,Y,Y,N,N,N,2025-07-28,381,22.7513,8.2892,8.9947,Y,Y,Y,N,N,N,2025-07-29,381,11.6402,4.4092,6.7019,Y,Y,Y,N,N,N,2025-07-30,381,16.4021,6.1728,6.8783,Y,Y,Y,N,N,N
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-24,14:15,1,1,060250,060250,NHN KCP,NHN KCP,KOSDAQ,70.0,70.0,18150.0,18150.0,18380.0,14068312.0,14068312.0,255339862800.0,13.155,13.155,2025-07-22,2,2,D+2,2,12,5,-1.251,3.573,0.083,20250724_060250_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,84.8544,0.9196,0.8626,0.5,0.8036,0.0,1.251,True,True,True,84.8544,2026-05-19,2026-05-19,2025-07-24 15:00:00,16900.0,ok,selected,,1,V2_TOP1,5,,2025-07-25,381,6.9822,-1.3609,3.3136,Y,Y,Y,Y,N,N,2025-07-28,381,6.2722,-0.8876,-0.355,Y,Y,Y,N,N,N,2025-07-29,381,7.1598,-0.6509,-0.1183,Y,Y,Y,N,N,N,2025-07-30,381,2.071,-4.7929,-4.2012,Y,Y,N,Y,Y,Y,2025-07-31,381,-2.6627,-6.6272,-4.6154,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-24,14:15,2,2,051980,051980,중앙첨단소재,중앙첨단소재,KOSDAQ,70.0,70.0,3590.0,3590.0,3695.0,66110180.0,66110180.0,237335546200.0,26.186,26.186,2025-07-24,0,0,D0,1,1,11,-2.842,5.978,0.111,20250724_051980_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,83.0445,0.8173,0.9876,0.5,0.7877,0.35,2.842,True,True,True,83.0445,2026-05-19,2026-05-19,2025-07-24 15:00:00,3685.0,ok,selected,,2,V2_TOP2,5,,2025-07-25,381,-3.1208,-11.9403,-8.1411,N,N,N,Y,Y,Y,2025-07-28,381,-5.5631,-16.6893,-16.1465,N,N,N,Y,Y,Y,2025-07-29,381,-14.1113,-19.6744,-17.9104,N,N,N,Y,Y,Y,2025-07-30,381,-10.4478,-18.3175,-17.7748,N,N,N,Y,Y,Y,2025-07-31,381,-14.1113,-21.4383,-20.0814,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-24,14:15,3,3,008970,008970,KBI동양철관,KBI동양철관,KOSPI,70.0,70.0,3676.0,3676.0,3837.0,148515731.0,148515731.0,545943827156.0,12.45,12.45,2025-07-23,1,1,D+1,2,1,4,-4.196,3.271,0.372,20250724_008970_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,80.8194,0.536,0.906,0.5,0.9686,0.0,4.196,True,True,True,80.8194,2026-05-19,2026-05-19,2025-07-24 15:00:00,3581.0,ok,selected,,3,V2_TOP3,5,,2025-07-25,381,1.7593,-1.3683,0.0,Y,N,N,Y,N,N,2025-07-28,379,12.8735,0.4189,6.3669,Y,Y,Y,N,N,N,2025-07-29,381,9.2432,2.2899,4.0491,Y,Y,Y,N,N,N,2025-07-30,381,5.3337,1.1729,1.1729,Y,Y,Y,N,N,N,2025-07-31,377,-4.105,-15.0517,-13.041,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-25,14:15,1,1,051980,051980,중앙첨단소재,중앙첨단소재,KOSDAQ,70.0,70.0,3590.0,3590.0,3695.0,66110180.0,66110180.0,237335546200.0,26.186,26.186,2025-07-24,1,1,D+1,1,1,11,-2.842,5.978,0.111,20250725_051980_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,83.0445,0.8173,0.9876,0.5,0.7877,0.35,2.842,True,True,True,83.0445,2026-05-19,2026-05-19,2025-07-25 15:00:00,3270.0,ok,selected,,1,V2_TOP1,5,,2025-07-28,381,6.422,-6.1162,-5.5046,Y,Y,Y,Y,Y,Y,2025-07-29,381,-3.211,-9.4801,-7.4924,N,N,N,Y,Y,Y,2025-07-30,381,0.9174,-7.9511,-7.3394,N,N,N,Y,Y,Y,2025-07-31,381,-3.211,-11.4679,-9.9388,N,N,N,Y,Y,Y,2025-08-01,381,-3.9755,-13.1498,-7.4924,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-07-25,14:15,2,2,008970,008970,KBI동양철관,KBI동양철관,KOSPI,70.0,70.0,3676.0,3676.0,3837.0,148515731.0,148515731.0,545943827156.0,12.45,12.45,2025-07-23,2,2,D+2,2,1,4,-4.196,3.271,0.372,20250725_008970_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,80.8194,0.536,0.906,0.5,0.9686,0.0,4.196,True,True,True,80.8194,2026-05-19,2026-05-19,2025-07-25 15:00:00,3549.0,ok,selected,,2,V2_TOP2,5,,2025-07-28,379,13.8912,1.3243,7.326,Y,Y,Y,N,N,N,2025-07-29,381,10.2282,3.2122,4.9873,Y,Y,Y,N,N,N,2025-07-30,381,6.2835,2.0851,2.0851,Y,Y,Y,N,N,N,2025-07-31,377,-3.2403,-14.2857,-12.257,N,N,N,Y,Y,Y,2025-08-01,381,-10.3128,-17.8078,-17.4697,N,N,N,Y,Y,Y
