signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2025-09-11,V3_C_RISK_CONTROL,3,2,2,0,1,False,PASS,False,0.0
2025-09-12,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2025-09-15,V3_C_RISK_CONTROL,3,2,2,0,1,False,PASS,False,0.0
2025-09-16,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2025-09-17,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-09-18,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-09-19,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-09-22,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2025-09-23,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-09-24,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-09-25,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2025-09-26,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-09-29,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-09-30,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-10-01,V3_C_RISK_CONTROL,3,2,1,3,0,False,PASS,False,0.0
2025-10-02,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2025-10-10,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2025-10-13,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-10-14,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-10-15,V3_C_RISK_CONTROL,3,0,3,1,0,False,PASS,False,0.0
2025-10-16,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-10-17,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-10-20,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2025-10-21,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-10-22,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2025-10-23,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-10-24,V3_C_RISK_CONTROL,3,2,1,2,0,False,PASS,False,0.0
2025-10-27,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-10-28,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-10-29,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-10-30,V3_C_RISK_CONTROL,3,1,1,3,0,False,PASS,False,0.0
2025-10-31,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2025-11-03,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2025-11-04,V3_C_RISK_CONTROL,3,0,2,3,0,False,PASS,False,0.0
2025-11-05,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-11-06,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-11-07,V3_C_RISK_CONTROL,3,0,2,3,0,False,PASS,False,0.0
2025-11-10,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-11-11,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-11-12,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
