signal_date,rank,stock_code,stock_name,active_variant,compare_variant,active_route,fallback_route,v3_total_score,v3_grade,entry_1500_price,source_freshness,stale_sources,fallback_used,fallback_reason,operational_allowed,consensus_sources,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,consensus_score,rank_score,path_score,risk_control_score,market_condition_score,liquidity_score,manual_proxy_score,complete_d1,complete_d5,h1_plus1_touch,h1_minus2_touch,h5_plus1_touch,h5_plus2_touch,h5_plus3_touch,h5_minus1_touch,h5_minus2_touch,h5_minus3_touch,ret_d1_close_pct,ret_d5_close_pct
2025-12-03,3,098460,고영,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.35,B,28800.0,PASS,,False,,True,EOD,True,False,False,20.0,10.0,84.0,85.0,50.0,75.0,50.0,True,True,True,True,True,True,True,True,True,True,-2.604166666666663,-6.423611111111116
2025-12-04,1,125490,한라캐스트,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,64.026714,B,18150.0,PASS,,False,,True,"V2,Human",False,True,True,60.0,23.0,67.71976075,80.0,50.0,65.0,86.375,True,True,True,True,True,True,True,True,True,True,7.2176308539944944,-5.179063360881542
2025-12-04,2,099440,스맥,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,61.082322,B,8230.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,22.0,61.7062175,85.0,50.0,65.0,92.527778,True,True,True,True,True,False,False,True,True,True,-4.738760631834749,-16.88942891859052
2025-12-04,3,090710,휴림로봇,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.376389,B,5730.0,PASS,,False,,True,Human,False,False,True,20.0,4.0,90.0,85.0,50.0,55.0,84.527778,True,True,True,True,True,True,True,True,True,True,-4.712041884816753,-2.617801047120416
2025-12-05,1,030530,원익홀딩스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,74.25,A,27700.0,PASS,,False,,True,"EOD,V2",True,True,False,80.0,25.0,100.0,85.0,50.0,75.0,50.0,True,True,True,False,True,True,True,False,False,False,6.498194945848379,10.288808664259918
2025-12-05,2,125490,한라캐스트,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,65.891714,B,19430.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,18.0,97.25904875,85.0,50.0,65.0,90.057143,True,True,False,True,False,False,False,True,True,True,-5.867215645908386,-7.5656201749871315
2025-12-05,3,092200,디아이씨,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.167143,B,11010.0,PASS,,False,,True,Human,False,False,True,20.0,12.0,84.0,85.0,50.0,65.0,92.342857,True,True,True,False,True,True,True,True,True,True,16.62125340599454,9.445958219800188
2025-12-08,1,013360,일성건설,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.486538,B,2400.0,PASS,,False,,True,Human,False,False,True,20.0,4.0,84.0,85.0,50.0,55.0,84.730769,True,True,True,True,True,True,True,True,True,True,-3.125,10.83333333333334
2025-12-08,2,101170,우림피티에스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,54.587097,C,11410.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,71.58064625,72.0,50.0,65.0,50.0,True,True,True,False,True,True,True,True,True,True,3.856266432953559,2.9798422436459138
2025-12-08,3,092200,디아이씨,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,53.530128,C,12950.0,PASS,,False,,True,Human,False,False,True,20.0,12.0,61.0,85.0,50.0,65.0,88.602564,True,True,False,True,True,True,True,True,True,True,-9.961389961389965,7.644787644787643
