d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score,entry_price_1500,signal_trading_value_to_1500_eok,source_universe,selection_feature_scope,weak_volume,deep_d0_high_gap,deep_d0_close_gap,old_watch_age,weak_signal_day,candidate_weak_flag_count,candidate_weak,proxy_rank_d0_high_hold,proxy_rank_d0_close_hold,proxy_rank_volume_retention,proxy_rank_signal_strength,proxy_rank_fresh_age,proxy_rank_low_risk,human_proxy_score,source_model_key,source_model_label,source_rank
2026-03-10,056090,시지메드텍,KOSDAQ,의료용 기기 제조업,정형외과용 신체보정용 의료기기,COMMON,2630,2975,2630,2780,10973975,2455.0,13.238289205702646,305.076505,1.5032639422157943,1.6902731267819813,0.5652173913043478,0.0,13.11787072243346,19.0,196.0,2026-03-11,1,False,2780.0,True,3245.0,2026-03-11 15:00:00,16655397.0,54.054054054054056,358,16.72661870503598,16.72661870503598,9.07563025210083,151.77177822985746,False,False,False,25.0,3245.0,540.46763265,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9647058823529412,0.9294117647058824,0.9411764705882353,0.9647058823529412,0.9294117647058824,0.8705882352941177,93.752941,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-06,038500,삼표시멘트,KOSDAQ,기타 비금속 광물제품 제조업,시멘트 제품,COMMON,14000,15570,13610,14770,10064459,14330.0,3.070481507327294,1486.5205943,0.621851935125747,0.5704664619863997,0.40816326530612246,0.1989795918367347,14.40117560617193,37.0,53.0,2026-03-11,3,False,13960.0,True,18140.0,2026-03-11 15:00:00,20642142.0,50.0,357,29.942693409742116,22.81651997291807,16.506101477199753,205.09936997110327,False,False,False,47.5,18140.0,3744.4845588,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9764705882352941,0.9647058823529412,0.9647058823529412,1.0,0.6823529411764706,0.8705882352941177,91.894118,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-11,038500,삼표시멘트,KOSDAQ,기타 비금속 광물제품 제조업,시멘트 제품,COMMON,14210,18140,14100,18140,20826709,13960.0,29.942693409742116,3777.9650126,1.3861914710793968,1.5198208935603255,0.0,0.027227722772277228,28.652482269503547,13.0,18.0,2026-03-12,1,False,18140.0,True,19940.0,2026-03-12 15:00:00,54494028.0,55.55555555555556,358,9.922822491730976,9.922822491730976,9.922822491730976,261.65453216828445,False,False,False,55.0,19940.0,10866.1091832,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9873417721518988,0.9493670886075949,0.9873417721518988,0.9620253164556962,0.8734177215189873,0.8860759493670886,94.746835,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-11,010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,광섬유,COMMON,6020,7160,5820,7160,66959095,5510.0,29.945553539019954,4794.271202,3.190863163883279,5.218614239524244,0.0,0.14925373134328357,23.02405498281787,2.0,9.0,2026-03-12,1,False,7160.0,True,7670.0,2026-03-12 15:00:00,99191820.0,38.095238095238095,359,7.1229050279329575,7.1229050279329575,7.1229050279329575,148.13793406257955,False,False,True,55.0,7670.0,7608.012594,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9746835443037974,0.9367088607594937,0.9746835443037974,0.9367088607594937,0.8734177215189873,0.8860759493670886,93.632911,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-11,388790,라이콤,KOSDAQ,통신 및 방송 장비 제조업,"제조업(광증폭기, 광송수신기, 광섬유레이저 외)",COMMON,4010,4760,3865,4395,10632848,3825.0,14.901960784313717,467.3136696,7.762729967683424,10.849403901467255,0.40782122905027934,0.16201117318435754,23.15653298835705,31.0,165.0,2026-03-12,1,False,4395.0,True,4840.0,2026-03-12 15:00:00,8345704.0,52.72727272727273,359,10.125142207053472,10.125142207053472,1.680672268907557,78.48982699649238,False,False,True,39.0,4840.0,403.9320736,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9240506329113924,0.9620253164556962,0.8860759493670886,0.9746835443037974,0.8734177215189873,0.8860759493670886,91.949367,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-12,047040,대우건설,KOSPI,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",COMMON,9950,10910,9750,10460,23886371,9950.0,5.12562814070352,2498.5144066,1.0021527236974899,1.2474550349405862,0.3879310344827586,0.1724137931034483,11.897435897435898,7.0,21.0,2026-03-13,1,False,10460.0,True,12250.0,2026-03-13 15:00:00,82338502.0,49.090909090909086,359,17.112810707456983,17.112810707456983,12.282309807516034,344.7091314122183,False,False,False,45.0,12250.0,10086.466495,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.974025974025974,0.961038961038961,0.987012987012987,0.987012987012987,0.9155844155844156,0.8571428571428571,95.318182,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-12,357880,SKAI,KOSDAQ,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",COMMON,3065,3965,2960,3710,19742671,3050.0,21.63934426229508,732.4530941,2.7649073976216036,4.238137544672098,0.2537313432835821,0.1044776119402985,33.9527027027027,14.0,94.0,2026-03-13,1,False,3710.0,True,4630.0,2026-03-13 15:00:00,18614350.0,42.857142857142854,358,24.797843665768205,24.797843665768205,16.771752837326616,94.28486145567638,False,False,False,52.0,4630.0,861.844405,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.987012987012987,0.987012987012987,0.922077922077922,1.0,0.9155844155844156,0.8571428571428571,95.097403,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2026-03-11,388790,라이콤,KOSDAQ,통신 및 방송 장비 제조업,"제조업(광증폭기, 광송수신기, 광섬유레이저 외)",COMMON,4010,4760,3865,4395,10632848,3825.0,14.901960784313717,467.3136696,7.762729967683424,10.849403901467255,0.40782122905027934,0.16201117318435754,23.15653298835705,31.0,165.0,2026-03-13,2,False,4900.0,True,5730.0,2026-03-13 15:00:00,8090534.0,30.0,359,16.938775510204085,30.37542662116042,20.378151260504197,76.08999959371187,False,False,False,32.75,5730.0,463.5875982,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,1.0,0.8701298701298701,0.974025974025974,0.7142857142857143,0.8571428571428571,91.272727,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2026-03-13,003280,흥아해운,KOSPI,해상 운송업,외항화물운송업(케미컬탱커),COMMON,2175,2615,2150,2335,133221056,2110.0,10.663507109004744,3110.7116576,3.1389541858270817,2.8878306418831037,0.6021505376344086,0.053763440860215055,21.627906976744185,1.0,14.0,2026-03-16,1,False,2335.0,True,3005.0,2026-03-16 15:00:00,211347485.0,53.731343283582085,358,28.693790149892926,28.693790149892926,14.91395793499044,158.64420486203022,False,False,False,40.0,3005.0,6350.99192425,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9859154929577465,1.0,0.9014084507042254,1.0,0.8802816901408451,0.8873239436619719,94.767606,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2026-03-13,357880,SKAI,KOSDAQ,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",COMMON,3800,4800,3710,4800,21778161,3710.0,29.380053908355784,1045.351728,2.6899227780607604,5.001964810505786,0.0,0.08256880733944955,29.380053908355798,11.0,71.0,2026-03-16,1,False,4800.0,True,5900.0,2026-03-16 15:00:00,30664139.0,39.726027397260275,358,22.916666666666675,22.916666666666675,22.916666666666675,140.80224220952357,False,False,False,48.0,5900.0,1809.184201,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,0.971830985915493,0.8873239436619719,0.9859154929577465,0.8802816901408451,0.8873239436619719,94.105634,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
