signal_date,policy_key,policy_label_ko,candidate_n,fill_pass_rate_pct,d5_profit_first_rate_pct,d5_loss_first_rate_pct,dplus1_G_count,dplus1_Y_count,dplus1_O_count,dplus1_R_count,dplus1_X_count,dplus2_G_count,dplus2_Y_count,dplus2_O_count,dplus2_R_count,dplus2_X_count,dplus3_G_count,dplus3_Y_count,dplus3_O_count,dplus3_R_count,dplus3_X_count,dplus4_G_count,dplus4_Y_count,dplus4_O_count,dplus4_R_count,dplus4_X_count,dplus5_G_count,dplus5_Y_count,dplus5_O_count,dplus5_R_count,dplus5_X_count
2026-05-04,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,24,100.0,50.0,50.0,5,9,7,3,0,2,8,12,2,0,1,12,8,3,0,7,3,14,0,0,0,3,19,2,0
2026-05-04,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,100.0,0.0,1,2,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0
2026-05-04,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,1,2,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0
2026-05-04,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,2,1,0,0,0,1,1,1,0,0,0,2,1,0,0,2,0,1,0,0,0,1,2,0,0
2026-05-06,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,29,93.1034,31.0345,58.6207,3,4,15,5,2,1,11,8,7,2,5,5,16,1,2,0,4,20,2,3,1,8,13,5,2
2026-05-06,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,1,0,1,1,0,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,1,0
2026-05-06,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,1,0,1,1,0,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,1,0
2026-05-06,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,66.6667,33.3333,0,1,2,0,0,0,0,2,1,0,2,0,1,0,0,0,0,3,0,0,0,1,1,1,0
2026-05-07,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,95.2381,28.5714,66.6667,0,7,4,9,1,6,2,8,4,1,0,1,17,2,1,0,3,10,6,2,3,5,9,1,3
2026-05-07,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,1,0,1,1,0,0,1,2,0,0,0,0,1,2,0,1,1,0,0,1
