replay_order,signal_date,rank,stock_code,stock_name,d0_date,trading_day_age,entry_1500_price,entry_1500_dt,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,rsi14_signal_1500,risk_count,badges,paper_watch_status,d1_label,h5_label,retro_success_tags,retro_fail_tags,retro_tags,hide_outcome_default,d1_reveal_available,h5_reveal_available,chart_status,minute_entry_available,d1_data_available,h5_data_available,minute_missing_reason,date_mapping_error,expected_dplus_dates,signal_minute_rows_to_1500,dplus_minute_day_count,selection_reason_text,model_id,source_layer,watch_days
428,2025-11-03,2,034020,두산에너빌리티,2025-10-29,3,89300.0,2025-11-03 15:00:00,0.6764374295377573,-7.365145228215764,-8.316221765913756,22.445635536226927,42.857142857142854,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-04|2025-11-05|2025-11-06|2025-11-07|2025-11-10,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+3 / D0 고가 대비 조정권 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
429,2025-11-03,3,035720,카카오,2025-10-29,3,64100.0,2025-11-03 15:00:00,-1.5360983102918557,-5.317577548005903,-8.034433285509323,23.15195338544629,33.33333333333333,0,15시 balanced,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-04|2025-11-05|2025-11-06|2025-11-07|2025-11-10,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 4 / 감시 D+3 / D0 고가 대비 조정권 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
430,2025-11-04,1,005930,삼성전자,2025-10-24,7,105800.0,2025-11-04 15:00:00,-4.770477047704769,7.0850202429149745,6.8686868686868685,142.88934244764832,50.0,0,Pool F refined · RSI 중립,h5_done,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-05|2025-11-06|2025-11-07|2025-11-10|2025-11-11,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+7 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
431,2025-11-04,2,034020,두산에너빌리티,2025-10-29,4,89300.0,2025-11-04 15:00:00,-0.22346368715083775,-7.365145228215764,-8.316221765913756,29.42057924089223,32.14285714285715,0,15시 balanced,h5_done,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-05|2025-11-06|2025-11-07|2025-11-10|2025-11-11,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+4 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
432,2025-11-04,3,035720,카카오,2025-10-29,4,64300.0,2025-11-04 15:00:00,-0.31007751937984773,-5.022156573116687,-7.747489239598282,13.608863541242094,45.00000000000001,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-05|2025-11-06|2025-11-07|2025-11-10|2025-11-11,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 4 / 감시 D+4 / D0 고가 대비 조정권 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
433,2025-11-05,1,005930,삼성전자,2025-10-24,8,99800.0,2025-11-05 15:00:00,-4.861773117254531,1.0121457489878471,0.8080808080808133,221.6834552844988,33.33333333333333,0,Pool F refined,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|VOLUME_ALIVE|LOW_RISK_COUNT,OLD_D0_RISK,D0_VALUE_STRONG|OLD_D0_RISK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-06|2025-11-07|2025-11-10|2025-11-11|2025-11-12,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+8 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
434,2025-11-05,2,034020,두산에너빌리티,2025-10-29,5,83300.0,2025-11-05 15:00:00,-6.9273743016759814,-13.589211618257258,-14.476386036960987,69.72260690417808,42.50000000000001,1,15시 balanced · D0종가 -10%↓ · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL,D0_CLOSE_BREAKDOWN,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE|RSI_NEUTRAL,True,True,True,OK,True,True,True,OK,False,2025-11-06|2025-11-07|2025-11-10|2025-11-11|2025-11-12,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+5 / D0 고가 대비 조정권 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 1,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
435,2025-11-05,3,486990,노타,2025-11-04,1,52300.0,2025-11-05 15:00:00,29.776674937965254,29.776674937965254,29.776674937965254,73.59698785078633,50.0,0,RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-06|2025-11-07|2025-11-10|2025-11-11|2025-11-12,358,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
436,2025-11-06,1,005930,삼성전자,2025-10-24,9,99600.0,2025-11-06 15:00:00,-0.994035785288272,0.809716599190291,0.60606060606061,130.82952410457972,28.57142857142857,0,Pool F refined · 15시 balanced · RSI 과매도,h5_done,D1_FAST_FAIL,H5_RISKY_WINNER,D0_VALUE_STRONG|VOLUME_ALIVE|LOW_RISK_COUNT,OLD_D0_RISK,D0_VALUE_STRONG|OLD_D0_RISK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-07|2025-11-10|2025-11-11|2025-11-12|2025-11-13,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+9 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
437,2025-11-06,2,034020,두산에너빌리티,2025-10-29,6,79600.0,2025-11-06 15:00:00,-4.784688995215314,-17.427385892116188,-18.275154004106774,53.15312630815681,20.0,1,깊은 눌림 · D0종가 -10%↓ · RSI 과매도,h5_done,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE,D0_CLOSE_BREAKDOWN,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE,True,True,True,OK,True,True,True,OK,False,2025-11-07|2025-11-10|2025-11-11|2025-11-12|2025-11-13,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+6 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 1,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
438,2025-11-06,3,486990,노타,2025-11-05,1,51500.0,2025-11-06 15:00:00,-1.5296367112810683,-1.5296367112810683,-1.5296367112810683,142.64570397930066,47.82608695652174,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-07|2025-11-10|2025-11-11|2025-11-12|2025-11-13,352,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 5 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
439,2025-11-07,1,005930,삼성전자,2025-10-24,10,98200.0,2025-11-07 15:00:00,-1.008064516129037,-0.6072874493927127,-0.8080808080808133,111.62961239341185,70.0,0,Pool F refined · 15시 balanced,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|VOLUME_ALIVE|LOW_RISK_COUNT,OLD_D0_RISK,D0_VALUE_STRONG|OLD_D0_RISK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-10|2025-11-11|2025-11-12|2025-11-13|2025-11-14,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+10 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
440,2025-11-07,2,034020,두산에너빌리티,2025-10-29,7,77900.0,2025-11-07 15:00:00,-1.7654476670870167,-19.190871369294605,-20.02053388090349,47.37911177179546,38.46153846153846,2,D0고가 -20%↓ · D0종가 -10%↓ · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE,D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE,True,True,True,OK,True,True,True,OK,False,2025-11-10|2025-11-11|2025-11-12|2025-11-13|2025-11-14,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+7 / D0 고가 대비 깊은 이탈 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 2,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
441,2025-11-07,3,098460,고영,2025-11-06,1,18630.0,2025-11-07 15:00:00,-7.313432835820899,-7.313432835820899,-11.285714285714288,27.291809446461357,33.33333333333333,1,15시 balanced · 신호일 약세,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE,SIGNAL_DAY_WEAK,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|SIGNAL_DAY_WEAK|VOLUME_ALIVE,True,True,True,OK,True,True,True,OK,False,2025-11-10|2025-11-11|2025-11-12|2025-11-13|2025-11-14,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+1 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 1,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
442,2025-11-10,1,034020,두산에너빌리티,2025-10-29,8,79700.0,2025-11-10 15:00:00,2.310654685494229,-17.323651452282164,-18.17248459958932,25.696711349995642,30.0,2,깊은 눌림 · D0종가 -10%↓ · RSI 과매도,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|VOLUME_ALIVE,OLD_D0_RISK|D0_CLOSE_BREAKDOWN,D0_VALUE_STRONG|OLD_D0_RISK|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE,True,True,True,OK,True,True,True,OK,False,2025-11-11|2025-11-12|2025-11-13|2025-11-14|2025-11-17,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+8 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 2,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
443,2025-11-10,2,098460,고영,2025-11-06,2,20400.0,2025-11-10 15:00:00,10.091743119266061,1.4925373134328401,-2.857142857142858,63.32378349690018,35.294117647058826,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-11|2025-11-12|2025-11-13|2025-11-14|2025-11-17,360,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+2 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
444,2025-11-10,3,486990,노타,2025-11-07,1,55400.0,2025-11-10 15:00:00,0.0,0.0,-9.0311986863711,29.61037788162562,66.66666666666666,0,15시 balanced,h5_done,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-11-11|2025-11-12|2025-11-13|2025-11-14|2025-11-17,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+1 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
445,2025-11-11,1,034020,두산에너빌리티,2025-10-29,9,77700.0,2025-11-11 15:00:00,-2.386934673366836,-19.398340248962654,-20.225872689938395,28.520861140252872,33.33333333333333,3,D0고가 -20%↓ · D0종가 -10%↓,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|VOLUME_ALIVE,OLD_D0_RISK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN,D0_VALUE_STRONG|OLD_D0_RISK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE,True,True,True,OK,True,True,True,OK,False,2025-11-12|2025-11-13|2025-11-14|2025-11-17|2025-11-18,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+9 / D0 고가 대비 깊은 이탈 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 3,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
446,2025-11-11,2,486990,노타,2025-11-07,2,42600.0,2025-11-11 15:00:00,-23.24324324324324,-23.104693140794218,-30.04926108374384,18.71480366376902,17.14285714285714,3,D0고가 -20%↓ · D0종가 -10%↓ · 신호일 약세 · RSI 과매도,h5_done,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK,D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK,True,True,True,OK,True,True,True,OK,False,2025-11-12|2025-11-13|2025-11-14|2025-11-17|2025-11-18,359,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+2 / D0 고가 대비 깊은 이탈 / D0 종가 대비 약세 / risk_count 3,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
