d0_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_case_key,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_case_key,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_case_key,bellguard_r3_reason,bellguard_green,bellguard_red,bellguard_avg_down,bellguard_count,bellguard_only_count,bellguard_only_codes,date_verdict,overlap_count,overlap_codes,main_dataset
2025-09-17,🔴 HJ중공업 (097230),RED,-14,HYBRID_D0_RISK_FILTER|2025-09-17|R1|097230,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 두산에너빌리티 (034020),GREEN,5,HYBRID_D0_RISK_FILTER|2025-09-17|R2|034020,+3 먼저 / +5 도달,🟢 휴림로봇 (090710),GREEN,7,HYBRID_D0_RISK_FILTER|2025-09-17|R3|090710,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-7.371209011850499,3.0,2.0,034020|097230,둘 다 양호,1.0,090710,bellguard_1y
2025-09-18,🟢 한전기술 (052690),GREEN,4,HYBRID_D0_RISK_FILTER|2025-09-18|R1|052690,+2 먼저 / 점심 양호,🔴 HJ중공업 (097230),RED,-8,HYBRID_D0_RISK_FILTER|2025-09-18|R2|097230,-3 먼저 / +5 도달 / -5 도달 / D1 종가 양호 / 점심 -3 이하,🔴 에이블씨엔씨 (078520),RED,-8,HYBRID_D0_RISK_FILTER|2025-09-18|R3|078520,-3 먼저 / -5 도달,1.0,2.0,-5.028001071006634,3.0,3.0,052690|078520|097230,둘 다 위험,0.0,,bellguard_1y
2025-09-19,🔴 한전기술 (052690),RED,-2,HYBRID_D0_RISK_FILTER|2025-09-19|R1|052690,+2 먼저 / -3 먼저,🔴 HJ중공업 (097230),RED,2,HYBRID_D0_RISK_FILTER|2025-09-19|R2|097230,+3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 양호,🔴 SNT에너지 (100840),RED,3,HYBRID_D0_RISK_FILTER|2025-09-19|R3|100840,+3 먼저 / +5 도달 / -5 도달 / D1 종가 양호,0.0,3.0,-6.477289683082007,3.0,3.0,052690|097230|100840,둘 다 위험,0.0,,bellguard_1y
2025-09-22,🔴 다날 (064260),RED,-12,HYBRID_D0_RISK_FILTER|2025-09-22|R1|064260,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 크래프톤 (259960),RED,-5,HYBRID_D0_RISK_FILTER|2025-09-22|R2|259960,-3 먼저,🔴 HD현대마린엔진 (071970),RED,-8,HYBRID_D0_RISK_FILTER|2025-09-22|R3|071970,-3 먼저 / -5 도달,0.0,3.0,-7.313265579525701,3.0,2.0,071970|259960,V2 공격 우세,1.0,064260,bellguard_1y
2025-09-23,🔴 다날 (064260),RED,1,HYBRID_D0_RISK_FILTER|2025-09-23|R1|064260,+2 먼저 / -3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 현대건설 (000720),GREEN,6,HYBRID_D0_RISK_FILTER|2025-09-23|R2|000720,+3 먼저 / D1 종가 양호 / 점심 양호,🔴 HJ중공업 (097230),RED,-10,HYBRID_D0_RISK_FILTER|2025-09-23|R3|097230,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 양호,1.0,2.0,-6.105385601953106,3.0,2.0,000720|097230,둘 다 위험,1.0,064260,bellguard_1y
2025-09-24,🔴 삼양식품 (003230),RED,-4,HYBRID_D0_RISK_FILTER|2025-09-24|R1|003230,-3 먼저 / +5 도달,🔴 다날 (064260),RED,0,HYBRID_D0_RISK_FILTER|2025-09-24|R2|064260,+3 먼저 / -2 먼저 / +5 도달 / -5 도달 / D1 종가 양호,🔴 LS (006260),RED,-3,HYBRID_D0_RISK_FILTER|2025-09-24|R3|006260,+1 먼저 / -3 먼저 / 점심 양호,0.0,3.0,-4.245630718730446,3.0,3.0,003230|006260|064260,둘 다 위험,0.0,,bellguard_1y
2025-09-25,🟢 하이브 (352820),GREEN,3,HYBRID_D0_RISK_FILTER|2025-09-25|R1|352820,+2 먼저,🟢 삼양식품 (003230),GREEN,6,HYBRID_D0_RISK_FILTER|2025-09-25|R2|003230,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 현대글로비스 (086280),RED,-5,HYBRID_D0_RISK_FILTER|2025-09-25|R3|086280,-3 먼저,2.0,1.0,-3.021484114971077,3.0,3.0,003230|086280|352820,HYBRID 방어 우세,0.0,,bellguard_1y
2025-09-26,🟢 현대모비스 (012330),GREEN,5,HYBRID_D0_RISK_FILTER|2025-09-26|R1|012330,+3 먼저 / D1 종가 양호,🔴 두산 (000150),RED,-11,HYBRID_D0_RISK_FILTER|2025-09-26|R2|000150,-3 먼저 / +5 도달 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 삼양식품 (003230),GREEN,7,HYBRID_D0_RISK_FILTER|2025-09-26|R3|003230,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-2.5361934376614754,3.0,3.0,000150|003230|012330,HYBRID 방어 우세,0.0,,bellguard_1y
2025-09-29,🟢 두산 (000150),GREEN,7,HYBRID_D0_RISK_FILTER|2025-09-29|R1|000150,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 현대모비스 (012330),GREEN,6,HYBRID_D0_RISK_FILTER|2025-09-29|R2|012330,+3 먼저 / D1 종가 양호 / 점심 양호,🟢 하이브 (352820),GREEN,2,HYBRID_D0_RISK_FILTER|2025-09-29|R3|352820,+3 먼저 / -2 먼저 / +5 도달,3.0,0.0,-1.697708057621335,3.0,3.0,000150|012330|352820,HYBRID 방어 우세,0.0,,bellguard_1y
2025-09-30,🟢 두산 (000150),GREEN,7,HYBRID_D0_RISK_FILTER|2025-09-30|R1|000150,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 다날 (064260),RED,-8,HYBRID_D0_RISK_FILTER|2025-09-30|R2|064260,-3 먼저 / -5 도달,🟢 코스모신소재 (005070),GREEN,2,HYBRID_D0_RISK_FILTER|2025-09-30|R3|005070,+3 먼저 / -2 먼저 / +5 도달,2.0,1.0,-2.77134277134277,3.0,3.0,000150|005070|064260,HYBRID 방어 우세,0.0,,bellguard_1y
