input_policy,signal_date,rank_num,stock_code,stock_name,trading_day_age,d0_date,d0_trading_value_proxy_eok,d0_pct_change,d0_volume_vs_20d,d0_upper_shadow_ratio,d0_range_pct,entry_1500_price,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,signal_trading_value_to_1500_eok,signal_rsi14_1500,signal_risk_count,eod_signal_balanced_score
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-06,2,010170,대한광통신,1,2026-05-04,14818.143879,16.831683168316825,1.871039218342326,0.1845018450184501,17.495158166559065,18210.0,2.8813559322034,2.8813559322034,0.0549450549450547,49.880331459562015,7604.3100759,50.0,0.0,76.00292798371393
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-06,3,001440,대한전선,1,2026-05-04,12210.870285,7.815275310834813,1.5379535367316757,0.5,8.59106529209621,69200.0,14.003294892915983,14.003294892915983,9.493670886075956,143.71037973072697,20005.62658,58.82352941176471,0.0,51.42552670259677
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-07,1,001440,대한전선,1,2026-05-06,20651.178156,14.003294892915983,2.131165439353058,0.3428571428571428,23.33333333333334,64200.0,-7.22543352601156,-7.22543352601156,-13.243243243243242,37.71569858709034,7225.966158,46.15384615384615,1.0,59.75808625336927
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-07,2,006800,미래에셋증권,1,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,79400.0,-5.250596658711215,-5.250596658711215,-9.56719817767654,31.43215337734645,5158.91575,38.888888888888886,0.0,83.50479775135695
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-07,3,080220,제주반도체,6,2026-04-27,8488.833032,8.148148148148149,5.512837185788044,0.4883720930232558,15.92592592592592,55400.0,-5.299145299145303,-5.136986301369861,-11.501597444089462,15.074554855492414,1213.918152,58.33333333333333,0.0,56.81356954804738
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-08,1,001440,대한전선,2,2026-05-06,20651.178156,14.003294892915983,2.131165439353058,0.3428571428571428,23.33333333333334,72800.0,13.572542901716078,5.202312138728327,-1.6216216216216162,63.14424247127685,13718.413072,38.46153846153846,0.0,67.20652173913044
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-08,2,010170,대한광통신,1,2026-05-07,18086.959472,19.321291735084834,1.932191931265516,0.0619195046439628,17.208311134789554,22200.0,1.83486238532109,1.83486238532109,0.9090909090909038,80.48732673137489,14824.824114,45.00000000000001,0.0,78.24356767878777
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-08,3,006800,미래에셋증권,2,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,79700.0,0.8860759493670933,-4.892601431980904,-9.2255125284738,23.820626952302028,3924.418436,71.42857142857143,0.0,78.46649791542585
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-11,1,006800,미래에셋증권,3,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,79700.0,0.1256281407035153,-4.892601431980904,-9.2255125284738,17.96623887154584,2959.915337,55.55555555555556,0.0,79.62211827597729
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-11,2,010170,대한광통신,1,2026-05-08,15526.2685305,2.522935779816504,1.5298534924260867,0.5454545454545454,18.68932038834952,27400.0,22.595078299776294,22.595078299776294,12.065439672801626,115.63543746993165,22010.559192,63.63636363636363,0.0,50.647450110864746
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-11,3,001440,대한전선,1,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,70750.0,-2.1438450899031847,-2.1438450899031847,-5.414438502673802,46.12538140237726,6639.8570775,69.23076923076923,0.0,80.52277766579319
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-12,1,010170,대한광통신,1,2026-05-11,23604.8888075,25.05592841163311,1.861092886918096,0.1171171171171171,24.078091106290668,28600.0,2.3255813953488413,2.3255813953488413,0.0,83.76901575455558,20233.433792,52.38095238095237,0.0,78.56031641397496
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-12,2,001440,대한전선,2,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,66900.0,-5.106382978723401,-7.468879668049788,-10.561497326203206,49.20791274345196,6698.127012,75.60975609756098,1.0,52.02277766579319
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-12,3,018880,한온시스템,1,2026-05-11,8780.0481153,20.125786163522008,5.770806671355424,0.1287128712871287,20.82474226804123,5120.0,-10.645724258289702,-10.645724258289702,-12.627986348122866,37.45688892033628,2938.6234368,68.0,2.0,46.52052644288818
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-13,1,010170,대한광통신,1,2026-05-12,21397.540788,4.114490161001783,1.5237195408694173,0.2068965517241379,29.89690721649485,25250.0,-13.230240549828176,-13.230240549828176,-19.84126984126984,44.08549594302098,8185.17534,44.44444444444444,2.0,35.548990748528176
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-13,2,001440,대한전선,3,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,65100.0,-3.125,-9.958506224066388,-12.967914438502673,31.882742009951333,4223.076711,25.00000000000001,0.0,64.18131425115904
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-13,3,018880,한온시스템,2,2026-05-11,8780.0481153,20.125786163522008,5.770806671355424,0.1287128712871287,20.82474226804123,5010.0,-2.906976744186052,-12.565445026178011,-14.50511945392492,13.245215291855658,1016.8081572,45.45454545454546,1.0,53.95345327215648
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-14,1,010170,대한광통신,2,2026-05-12,21397.540788,4.114490161001783,1.5237195408694173,0.2068965517241379,29.89690721649485,24550.0,-0.8080808080808133,-15.63573883161512,-22.063492063492063,39.10569611201621,7059.312238,53.33333333333334,2.0,33.42780172413793
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-14,2,006800,미래에셋증권,6,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,72000.0,-1.2345679012345734,-14.08114558472554,-17.995444191343967,11.689923763165114,1739.83464,88.88888888888889,2.0,19.921660958904116
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-14,3,001440,대한전선,4,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,65700.0,0.4587155963302836,-9.128630705394192,-12.165775401069522,37.188698939804354,4971.285108,84.61538461538461,1.0,47.96332644628099
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-15,1,010170,대한광통신,3,2026-05-12,21397.540788,4.114490161001783,1.5237195408694173,0.2068965517241379,29.89690721649485,22100.0,-10.70707070707071,-24.05498281786942,-29.841269841269845,17.762474223820604,2886.467077,38.46153846153846,3.0,13.943721535458684
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-15,2,006800,미래에셋증권,7,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,68000.0,-5.947441217150762,-18.85441527446301,-22.55125284738041,19.786716823624857,2781.29112,11.111111111111114,2.0,17.786637373998445
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-15,3,001440,대한전선,5,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,58900.0,-10.076335877862595,-18.53388658367912,-21.256684491978607,31.100872665742745,3727.178453,40.0,3.0,14.315920785903629
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-18,1,010170,대한광통신,4,2026-05-12,21397.540788,4.114490161001783,1.5237195408694173,0.2068965517241379,29.89690721649485,23200.0,0.8695652173912993,-20.274914089347075,-26.349206349206344,32.25902417193233,5503.13396,48.27586206896552,2.0,29.42780172413793
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-18,2,006800,미래에셋증권,8,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,70300.0,0.5722460658083017,-16.109785202863957,-19.93166287015945,15.658167364984273,2275.412051,50.0,2.0,20.921660958904116
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-18,3,001440,대한전선,6,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,58200.0,-3.0000000000000027,-19.50207468879668,-22.19251336898396,26.354792456457883,3120.86442,57.142857142857146,2.0,24.213326446280988
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-19,1,006800,미래에셋증권,9,2026-05-06,17322.39018,19.20341394025604,6.932488681609553,0.273972602739726,19.94535519125684,66400.0,-5.81560283687943,-20.763723150357997,-24.373576309794988,13.023804720694727,1787.59756,57.692307692307686,3.0,7.254047322540472
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-19,2,001440,대한전선,7,2026-05-08,14710.607706,12.792511700468022,1.2786221487204192,0.2066115702479339,19.29824561403508,53500.0,-7.91738382099828,-26.002766251728904,-28.47593582887701,19.34945761512648,2106.274135,55.55555555555556,3.0,4.959268004722553
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-19,3,028050,삼성E&A,8,2026-05-07,8969.146424,21.509433962264147,3.342885082092158,0.3866666666666666,12.541806020066891,49400.0,-0.2020202020202033,-23.291925465838517,-26.597325408618133,11.785258909047776,810.832828,41.17647058823529,3.0,3.6675324675324674
