scenario,seed,max_holdings,trade_days,no_trade_rate,avg_holding_count,cash_utilization_rate,d1_plus1_profit_protect_success_rate,d1_account_return_avg,d1_loss_day_rate
SMALL_POOL_F_REFINED_100K,1000000,3,104,0.0,1.1730769230769231,6.880956730769231,72.95081967213115,0.07236404807692304,41.34615384615385
SMALL_POOL_F_BASE,100000,1,276,0.0,1.0,54.18380434782608,63.76811594202898,0.2746743478260869,46.73913043478261
SMALL_POOL_F_BASE,100000,2,276,0.0,1.5833333333333333,72.56955072463768,63.1578947368421,0.34330720289855077,47.10144927536232
SMALL_POOL_F_BASE,100000,3,276,0.0,1.6884057971014492,74.97766666666668,62.66094420600859,0.32224097101449267,46.3768115942029
SMALL_POOL_F_BASE,200000,1,276,0.0,1.0,27.52251811594203,63.76811594202898,0.15712811594202894,46.3768115942029
SMALL_POOL_F_BASE,200000,2,276,0.0,2.0,54.07795652173913,63.76811594202898,0.2701107173913043,48.188405797101446
SMALL_POOL_F_BASE,200000,3,276,0.0,2.7644927536231885,71.45041485507247,63.17169069462647,0.39462594565217396,44.565217391304344
SMALL_POOL_F_BASE,300000,1,276,0.0,1.0,18.34834541062802,63.76811594202898,0.10475207729468598,46.3768115942029
SMALL_POOL_F_BASE,300000,2,276,0.0,2.0,36.1577077294686,63.76811594202898,0.18185509178743964,48.188405797101446
SMALL_POOL_F_BASE,300000,3,276,0.0,2.963768115942029,52.23140700483091,63.325183374083124,0.2765489975845411,44.565217391304344
SMALL_POOL_F_BASE,500000,1,276,0.0,1.0,11.009007246376811,63.76811594202898,0.06285124637681158,46.3768115942029
SMALL_POOL_F_BASE,500000,2,276,0.0,2.0,21.69462463768116,63.76811594202898,0.10911305507246377,48.188405797101446
SMALL_POOL_F_BASE,500000,3,276,0.0,2.963768115942029,31.338844202898553,63.325183374083124,0.16592939855072464,44.565217391304344
SMALL_POOL_F_BASE,1000000,1,276,0.0,1.0,5.5045036231884055,63.76811594202898,0.03142562318840579,46.3768115942029
SMALL_POOL_F_BASE,1000000,2,276,0.0,2.0,11.012747101449275,63.76811594202898,-0.09640839999999996,48.188405797101446
SMALL_POOL_F_BASE,1000000,3,276,0.0,2.971014492753623,16.01290036231884,63.29268292682927,-0.19764979347826084,44.927536231884055
MID_POOL_I_VALUE_REFINED_500K,100000,1,1,98.78048780487805,1.0,99.3,100.0,3.301399999999989,0.0
MID_POOL_I_VALUE_REFINED_500K,100000,2,1,98.78048780487805,1.0,99.3,100.0,3.301399999999989,0.0
MID_POOL_I_VALUE_REFINED_500K,100000,3,1,98.78048780487805,1.0,99.3,100.0,3.301399999999989,0.0
MID_POOL_I_VALUE_REFINED_500K,200000,1,45,45.1219512195122,1.0,72.03555555555555,84.44444444444444,0.8092622222222229,33.33333333333333
MID_POOL_I_VALUE_REFINED_500K,200000,2,45,45.1219512195122,1.0,72.03555555555555,84.44444444444444,0.8092622222222229,33.33333333333333
MID_POOL_I_VALUE_REFINED_500K,200000,3,45,45.1219512195122,1.0,72.03555555555555,84.44444444444444,0.8092622222222229,33.33333333333333
MID_POOL_I_VALUE_REFINED_500K,300000,1,73,10.975609756097562,1.0,62.24109589041095,71.23287671232876,0.16866849315068483,42.465753424657535
MID_POOL_I_VALUE_REFINED_500K,300000,2,73,10.975609756097562,1.0,62.24109589041095,71.23287671232876,0.16866849315068483,42.465753424657535
MID_POOL_I_VALUE_REFINED_500K,300000,3,73,10.975609756097562,1.0,62.24109589041095,71.23287671232876,0.16866849315068483,42.465753424657535
MID_POOL_I_VALUE_REFINED_500K,500000,1,82,0.0,1.0,42.21658536585365,71.95121951219512,0.19898146341463407,42.68292682926829
MID_POOL_I_VALUE_REFINED_500K,500000,2,82,0.0,1.024390243902439,43.33219512195122,72.61904761904762,0.20309170731707304,42.68292682926829
MID_POOL_I_VALUE_REFINED_500K,500000,3,82,0.0,1.024390243902439,43.33219512195122,72.61904761904762,0.20309170731707304,42.68292682926829
MID_POOL_I_VALUE_REFINED_500K,1000000,1,82,0.0,1.0,21.108292682926827,71.95121951219512,0.09949073170731704,42.68292682926829
MID_POOL_I_VALUE_REFINED_500K,1000000,2,82,0.0,1.0609756097560976,23.258475609756097,73.5632183908046,0.11025134146341459,43.90243902439025
MID_POOL_I_VALUE_REFINED_500K,1000000,3,82,0.0,1.0609756097560976,23.258475609756097,73.5632183908046,0.11025134146341459,43.90243902439025
MID_POOL_I_VALUE_BASE,100000,1,31,88.72727272727273,1.0,95.67277419354836,67.74193548387096,0.2285576774193556,51.61290322580645
MID_POOL_I_VALUE_BASE,100000,2,31,88.72727272727273,1.0,95.67277419354836,67.74193548387096,0.2285576774193556,51.61290322580645
MID_POOL_I_VALUE_BASE,100000,3,31,88.72727272727273,1.0,95.67277419354836,67.74193548387096,0.2285576774193556,51.61290322580645
MID_POOL_I_VALUE_BASE,200000,1,228,17.09090909090909,1.0,71.00738377192982,68.85964912280701,0.47046988157894737,43.859649122807014
MID_POOL_I_VALUE_BASE,200000,2,228,17.09090909090909,1.0043859649122806,71.21111184210527,68.99563318777294,0.46304488157894746,44.29824561403509
MID_POOL_I_VALUE_BASE,200000,3,228,17.09090909090909,1.0043859649122806,71.21111184210527,68.99563318777294,0.46304488157894746,44.29824561403509
MID_POOL_I_VALUE_BASE,300000,1,274,0.36363636363636365,1.0,63.99327615571776,65.32846715328468,0.28103169586374693,45.62043795620438
MID_POOL_I_VALUE_BASE,300000,2,274,0.36363636363636365,1.1423357664233578,69.97760340632604,64.5367412140575,0.2778185158150851,44.89051094890511
MID_POOL_I_VALUE_BASE,300000,3,274,0.36363636363636365,1.1423357664233578,69.97760340632604,64.5367412140575,0.2778185158150851,44.89051094890511
MID_POOL_I_VALUE_BASE,500000,1,275,0.0,1.0,42.079490909090914,66.54545454545455,0.3054831999999998,44.0
MID_POOL_I_VALUE_BASE,500000,2,275,0.0,1.5854545454545454,60.56441672727272,66.97247706422019,0.40219262109090903,42.90909090909091
MID_POOL_I_VALUE_BASE,500000,3,275,0.0,1.6254545454545455,61.52513090909091,67.11409395973155,0.4096101018181818,43.27272727272727
MID_POOL_I_VALUE_BASE,1000000,1,275,0.0,1.0,28.574485454545453,65.81818181818181,0.16042266545454542,44.36363636363637
MID_POOL_I_VALUE_BASE,1000000,2,275,0.0,1.9418181818181819,59.26859381818182,64.9812734082397,0.31667481236363654,44.36363636363637
MID_POOL_I_VALUE_BASE,1000000,3,275,0.0,2.3163636363636364,66.90978254545453,65.149136577708,0.3325015258181821,45.09090909090909
P0_SIGNAL_LIQUIDITY_BASE,100000,1,255,0.0,1.0,55.64380392156862,60.3921568627451,0.2706614117647057,46.666666666666664
P0_SIGNAL_LIQUIDITY_BASE,100000,2,255,0.0,1.7058823529411764,73.83786274509804,61.839080459770116,0.3716968235294117,43.92156862745098
P0_SIGNAL_LIQUIDITY_BASE,100000,3,255,0.0,1.8980392156862744,77.11428235294117,61.15702479338842,0.36490869019607836,44.70588235294118
P0_SIGNAL_LIQUIDITY_BASE,200000,1,255,0.0,1.0,31.972319607843133,59.21568627450981,0.06692202745098029,47.45098039215686
P0_SIGNAL_LIQUIDITY_BASE,200000,2,255,0.0,2.0,53.157770588235294,62.15686274509804,0.2921197529411764,43.13725490196079
P0_SIGNAL_LIQUIDITY_BASE,200000,3,255,0.0,2.8705882352941177,66.83820392156862,61.338797814207645,0.29153143529411757,45.490196078431374
P0_SIGNAL_LIQUIDITY_BASE,300000,1,255,0.0,1.0,21.31487973856209,59.21568627450981,0.04461468496732018,47.45098039215686
P0_SIGNAL_LIQUIDITY_BASE,300000,2,255,0.0,2.0,35.438513725490196,62.15686274509804,0.19474650196078427,43.13725490196079
