signal_date,1위,2위,3위,selected_count,plus_touch_count,green_count,yellow_count,orange_count,red_count,gray_count,red_fast_count,confirmed_count,profit_before_minus2_count,success_broad_count,avg_d1_return_at_cutoff,avg_ret_d1_close,avg_d1_high_until_cutoff,avg_d1_low_until_cutoff,pending_count,plus_touch_rate_pct,profit_before_minus2_rate_pct,success_broad_rate_pct,traffic_preference_bucket
2025-11-27,🔴 삼성전자(005930),🟡 노타(486990),🟠 한국전력(015760),3,2,0,1,1,1,0,1,3,1,2,-3.053541143033467,-4.582227924114094,1.4061339403778368,-4.043601668326375,0,66.66666666666666,33.33333333333333,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-11-26,🟢 삼성전자(005930),🟢 한국전력(015760),🟢 노타(486990),3,3,3,0,0,0,0,0,3,3,3,1.737220002748563,1.4760608842826375,6.8845537189110715,-0.40239526617925625,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-25,🟢 삼성전자(005930),🟢 카카오(035720),🟢 한국전력(015760),3,3,3,0,0,0,0,0,3,3,3,3.170933500644265,3.6082486921780847,4.4155113944076865,0.05046799617598833,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-24,🟡 카카오(035720),🟢 한국전력(015760),🟢 고영(098460),3,3,2,1,0,0,0,0,3,3,3,2.072953697888528,1.9343535592883858,3.7342576529507454,-0.8270008070818236,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-21,🟡 노타(486990),🟢 카카오(035720),🟡 한국전력(015760),3,3,1,2,0,0,0,0,3,3,3,-1.3678319445843858,-1.2586171592382807,1.559223253988118,-4.201500953941058,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2025-11-20,🟠 노타(486990),🟠 카카오(035720),🟠 한국전력(015760),3,1,0,0,3,0,0,0,3,0,3,0.027868972479749843,-0.06135963043576442,1.8571943261849189,-3.8540280167739547,0,33.33333333333333,0.0,100.0,D_ONE_REACH_CAUTION
2025-11-19,🟢 노타(486990),🟢 카카오(035720),🟢 한국전력(015760),3,3,3,0,0,0,0,0,3,3,3,5.542238585522763,6.000308199945747,8.220020640209931,1.7734701123279202,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-18,🟢 노타(486990),🟢 카카오(035720),🟡 한국전력(015760),3,3,2,1,0,0,0,0,3,3,3,-1.001758299612902,-0.5840479589437564,4.96015533334008,-2.730188193181219,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-17,🔴 노타(486990),🔴 카카오(035720),🔴 클로봇(466100),3,0,0,0,0,3,0,3,3,0,0,-8.48593265408318,-7.801634963473137,-1.749527868125637,-9.05935698391184,0,0.0,0.0,0.0,E_NO_1P3_REACH_AVOID
2025-11-14,🟡 노타(486990),🔴 카카오(035720),🟢 클로봇(466100),3,2,1,1,0,1,0,0,3,2,2,0.41456291898155734,1.3276890735716806,6.4867309719511965,-3.455225972154596,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-11-13,🔴 노타(486990),🔴 카카오(035720),🟠 한국전력(015760),3,0,0,0,1,2,0,2,3,0,1,-7.094873158757149,-6.749863733177705,-1.2045702477578524,-8.754781100204697,0,0.0,0.0,33.33333333333333,E_NO_1P3_REACH_AVOID
2025-11-12,🟢 두산에너빌리티(034020),🟡 노타(486990),🟢 고영(098460),3,3,2,1,0,0,0,0,3,3,3,1.2793293658256915,1.7374267436286857,6.3914865452945335,-1.444787291971613,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-11,🟢 두산에너빌리티(034020),🟠 노타(486990),🟢 고영(098460),3,3,2,0,1,0,0,0,3,2,3,1.149467387264928,1.8019466355724898,7.587115210662887,-1.8958350107448618,0,100.0,66.66666666666666,100.0,A_CLEAN_PREFERRED
2025-11-10,🔴 두산에너빌리티(034020),🟡 고영(098460),🔴 노타(486990),3,1,0,1,0,2,0,2,3,1,1,-10.139341666001284,-9.918013481515308,-0.005540274744331164,-10.97527464678796,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-11-07,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 고영(098460),3,3,2,1,0,0,0,0,3,3,3,4.8536502245012825,4.619565886909586,7.688162607245059,-1.271079112997538,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-11-06,🟠 삼성전자(005930),🟠 두산에너빌리티(034020),🟡 노타(486990),3,2,0,1,2,0,0,0,3,1,3,2.1205372464798664,1.2434366109279504,6.862801419530559,-4.410917808914342,0,66.66666666666666,33.33333333333333,100.0,C_REACHED_BUT_VOLATILE
2025-11-05,🟢 삼성전자(005930),🟡 두산에너빌리티(034020),🟡 노타(486990),3,3,1,2,0,0,0,0,3,3,3,-2.057271407856183,-3.426280063441785,11.302209799034742,-6.4842625877335704,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2025-11-04,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟡 카카오(035720),3,1,0,1,0,2,0,2,3,1,1,-5.322328456473632,-4.595416162061098,-1.5684692668605578,-8.60704080258263,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-11-03,🟡 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 카카오(035720),3,3,2,1,0,0,0,0,3,3,3,-1.4289083736478414,-1.6767697083753363,2.14939713360236,-2.347246865073956,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-31,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 카카오(035720),3,3,3,0,0,0,0,0,3,3,3,0.6791662873911197,1.0205820037842428,2.67081580662556,-0.959676355386622,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-30,🟢 삼성전자(005930),🟡 두산에너빌리티(034020),🟢 카카오(035720),3,3,2,1,0,0,0,0,3,3,3,1.3477852186568793,1.253386558237975,2.9022410216400583,-0.5366017043824963,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-29,🟢 삼성전자(005930),🔴 두산에너빌리티(034020),🟢 두산퓨얼셀(336260),3,2,2,0,0,1,0,1,3,2,2,0.011328197086709402,-0.046739638070906565,3.5424087436471297,-1.9720465293220728,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-10-28,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 삼성중공업(010140),3,3,3,0,0,0,0,0,3,3,3,4.770599753350413,4.76597415582399,5.9393799921294415,1.0057440333683276,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-27,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🟠 클로봇(466100),3,1,1,0,1,1,0,1,3,1,2,-0.8267580334509436,-0.5241412131175904,1.7170181451677518,-2.407409810953117,0,33.33333333333333,33.33333333333333,66.66666666666666,D_ONE_REACH_CAUTION
2025-10-24,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟠 클로봇(466100),3,3,2,0,1,0,0,0,3,2,3,2.6616063774064225,2.796286512086558,3.7394593018157027,-0.15954535475301013,0,100.0,66.66666666666666,100.0,A_CLEAN_PREFERRED
2025-10-23,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 휴림로봇(090710),3,3,2,1,0,0,0,0,3,3,3,2.630290121827835,3.0580320729652075,3.629273158116046,-0.3485902805934786,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-22,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟡 휴림로봇(090710),3,1,0,1,0,2,0,1,3,1,1,-1.512736622736514,-1.6858556922600594,2.840342007317498,-3.476207595776278,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-10-21,🟠 삼성전자(005930),🔴 두산에너빌리티(034020),🟡 클로봇(466100),3,1,0,1,1,1,0,1,3,1,2,-0.18373107189638324,-0.19232263794081902,0.9664557510778512,-2.910049789435091,0,33.33333333333333,33.33333333333333,66.66666666666666,D_ONE_REACH_CAUTION
2025-10-20,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 일동제약(249420),3,3,2,1,0,0,0,0,3,3,3,0.15345620025418727,-0.10568763617576638,3.0640845457701844,-1.7711855517855444,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-17,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 일동제약(249420),3,2,1,1,0,1,0,0,3,2,2,-0.553976411187381,-0.3336030838302732,1.7829565335167368,-1.6514917830822002,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-10-16,🟢 삼성전자(005930),🟠 두산에너빌리티(034020),🟠 일동제약(249420),3,1,1,0,2,0,0,0,3,1,3,-1.9387643944151305,-1.9243496795423365,1.248126820296891,-2.9654839718612975,0,33.33333333333333,33.33333333333333,100.0,D_ONE_REACH_CAUTION
2025-10-15,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🔴 일동제약(249420),3,2,2,0,0,1,0,1,3,2,2,-0.8008415023590952,-0.2797704108593739,1.8100841747579866,-1.7478666964182246,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-10-14,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 일동제약(249420),3,3,3,0,0,0,0,0,3,3,3,4.589040449455021,4.515941034250349,5.650132424295381,0.49033642735589006,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-13,🟡 삼성전자(005930),🟡 두산에너빌리티(034020),🟡 일동제약(249420),3,3,0,3,0,0,0,0,3,3,3,-2.513600024345101,-2.172966033161631,3.116724177736792,-3.438905257925503,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2025-10-10,🔴 삼성전자(005930),🔴 일동제약(249420),🟢 두산에너빌리티(034020),3,1,1,0,0,2,0,2,3,1,1,-2.239393551541358,-2.0084217501093646,0.6544489275821593,-4.926819681050923,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-10-02,🟢 삼성전자(005930),🟢 일동제약(249420),🟢 두산에너빌리티(034020),3,3,3,0,0,0,0,0,3,3,3,6.317013738188641,6.326715287883555,7.033915694255696,0.8040277680708252,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-10-01,🟢 삼성전자(005930),🟡 일동제약(249420),🟢 두산에너빌리티(034020),3,3,2,1,0,0,0,0,3,3,3,-0.19630119398090398,-0.6569804108253917,3.098208468326831,-1.5780433313072884,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-09-30,🟢 삼성전자(005930),🟠 일동제약(249420),🟢 두산에너빌리티(034020),3,2,2,0,1,0,0,0,3,2,3,0.5063829270470036,0.7652083883828394,2.8844817431594953,-2.1998727984926005,0,66.66666666666666,66.66666666666666,100.0,A_CLEAN_PREFERRED
2025-09-29,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟡 디앤디파마텍(347850),3,1,0,1,0,2,0,0,3,1,1,-1.377956552934645,-1.2181587469772714,1.8715543800262822,-2.064505535562189,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-09-26,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟠 디앤디파마텍(347850),3,3,2,0,1,0,0,0,3,2,3,1.2494734027892214,0.8980705279975668,2.4846165714566735,-1.5858792507869628,0,100.0,66.66666666666666,100.0,A_CLEAN_PREFERRED
2025-09-25,🔴 삼성전자(005930),🟠 두산에너빌리티(034020),🟢 디앤디파마텍(347850),3,1,1,0,1,1,0,1,3,1,2,1.5545619062475982,1.2880260029735673,3.6647765799355505,-2.1774398756916926,0,33.33333333333333,33.33333333333333,66.66666666666666,D_ONE_REACH_CAUTION
2025-09-24,🟢 삼성전자(005930),🟡 HJ중공업(097230),🟠 다날(064260),3,3,1,1,1,0,0,0,3,2,3,0.8759755403495902,1.1591027536459426,4.943777366373599,-1.9761432820459168,0,100.0,66.66666666666666,100.0,B_PROFIT_FIRST_PREFERRED
2025-09-23,🔴 삼성전자(005930),🟡 HJ중공업(097230),🟡 다날(064260),3,2,0,2,0,1,0,0,3,2,2,-0.03331746359619044,1.2603826101331632,1.676756568768445,-3.2210673986838194,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-09-22,🟢 삼성전자(005930),🟠 HJ중공업(097230),🔴 다날(064260),3,2,1,0,1,1,0,1,3,1,2,-1.9884320638011932,-2.218617044783459,1.8936512998420623,-3.7254275581873073,0,66.66666666666666,33.33333333333333,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-09-19,🟢 삼성전자(005930),🟢 HJ중공업(097230),🟢 두산에너빌리티(034020),3,3,3,0,0,0,0,0,3,3,3,2.7888777888777967,3.005474058105643,5.949423383633911,0.6986799749957676,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-09-18,🔴 삼성전자(005930),🟠 HJ중공업(097230),🟢 두산에너빌리티(034020),3,1,1,0,1,1,0,0,3,1,2,-0.5122718003146712,0.0805368355351536,1.7862416327602066,-3.127191771375907,0,33.33333333333333,33.33333333333333,66.66666666666666,D_ONE_REACH_CAUTION
2025-09-17,🟢 삼성전자(005930),🔴 HJ중공업(097230),🟢 두산에너빌리티(034020),3,2,2,0,0,1,0,1,3,2,2,-2.6459023717044006,-2.521511179312115,1.541687526743729,-3.8028761294459166,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-09-16,🔴 삼성전자(005930),🟡 HJ중공업(097230),🟡 SK오션플랜트(100090),3,2,0,2,0,1,0,1,3,2,2,-1.5763129362847221,-2.3438647361245937,2.1568982990590477,-3.856100769117647,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-09-15,🟢 삼성전자(005930),🟡 HJ중공업(097230),🟡 SK오션플랜트(100090),3,3,1,2,0,0,0,0,3,3,3,0.6067106073950224,0.8248821194547026,3.5079884867715996,-1.7546738161343594,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2025-09-12,🟢 삼성전자(005930),🟢 HJ중공업(097230),🟡 SK오션플랜트(100090),3,3,2,1,0,0,0,0,3,3,3,1.3621422910237602,1.0223897884033217,5.804629548272462,-1.2769043568094645,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-09-11,🟢 삼성전자(005930),🔴 HJ중공업(097230),🟡 클로봇(466100),3,2,1,1,0,1,0,1,3,2,2,-0.8799309040132819,-0.1687672458031697,2.5487183745778665,-2.6312204888576445,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-09-10,🔴 삼성전자(005930),🔴 클로봇(466100),🟡 HJ중공업(097230),3,1,0,1,0,2,0,1,3,1,1,-0.012412708769515834,0.3641228123488512,1.4154198265069435,-3.5788106294050195,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-09-09,🟢 삼성전자(005930),🟡 HJ중공업(097230),🟢 삼성중공업(010140),3,3,2,1,0,0,0,0,3,3,3,8.5135644471856,8.589203265404015,10.449721172872817,-1.544899305287861,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-09-08,🟢 삼성전자(005930),🔴 HJ중공업(097230),🟢 삼성중공업(010140),3,2,2,0,0,1,0,1,3,2,2,-2.0243039578726827,-1.897721322211143,0.8686344428408432,-3.471184221557729,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-09-05,🔴 삼성전자(005930),🟢 HJ중공업(097230),🟢 삼성중공업(010140),3,2,2,0,0,1,0,0,3,2,2,3.5042949217411654,3.4254448678029554,5.615764829784735,0.866171371503636,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-09-04,🔴 두산에너빌리티(034020),🟢 HJ중공업(097230),🔴 삼성전자(005930),3,1,1,0,0,2,0,0,3,1,1,3.430923927677506,4.374845516760387,5.0923379955638035,-1.243552433905933,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-09-03,🟢 두산에너빌리티(034020),🔴 삼성전자(005930),🟡 HJ중공업(097230),3,2,1,1,0,1,0,0,3,2,2,1.9078926811818924,2.6185486923545978,3.5063556891622807,-1.3388573563799078,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-09-02,🟢 두산에너빌리티(034020),🔴 삼성전자(005930),🟡 HJ중공업(097230),3,2,1,1,0,1,0,0,3,2,2,4.362618831050905,5.308061031758034,6.6870786421189266,-0.5995863148594424,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-09-01,🟢 두산에너빌리티(034020),🟢 삼성전자(005930),🟢 삼성중공업(010140),3,3,3,0,0,0,0,0,3,3,3,1.5244871773052078,1.4998141948914097,3.0011004296150556,-0.1486468639323039,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-08-29,🟡 두산에너빌리티(034020),🔴 삼성전자(005930),🟡 삼성중공업(010140),3,2,0,2,0,1,0,1,3,2,2,-2.959836297047221,-3.0438468388519566,0.4355666866792414,-3.595918625362541,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-08-28,🔴 두산에너빌리티(034020),🔴 삼성전자(005930),🟢 LG디스플레이(034220),3,1,1,0,0,2,0,1,3,1,1,-0.767299228213647,-0.5918343780491386,0.9444037600994696,-1.0713394239594793,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-27,🔴 두산에너빌리티(034020),🔴 삼성전자(005930),🟢 LG디스플레이(034220),3,1,1,0,0,2,0,0,3,1,1,-0.1749197596243516,-0.26026655611431176,0.7679239788499234,-0.9971465881946862,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-26,🟢 두산에너빌리티(034020),🔴 삼성전자(005930),🔴 LG디스플레이(034220),3,1,1,0,0,2,0,0,3,1,1,0.026482641176284183,-0.0809195672876295,1.3518252823305321,-0.8104896129989178,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-25,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟢 LG디스플레이(034220),3,1,1,0,0,2,0,1,3,1,1,-1.0088796415891002,-1.299798254641012,0.2274280358423142,-2.3366356781144066,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-22,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 카카오(035720),3,2,2,0,0,1,0,0,3,2,2,2.5928653873734926,2.709742432721788,3.115847285887948,0.12939783574095198,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-08-21,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🔴 카카오(035720),3,1,1,0,0,2,0,0,3,1,1,0.04541799639839287,0.14639120463756372,1.3375153228639691,-0.7730782960214344,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-20,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 카카오(035720),3,3,2,1,0,0,0,0,3,3,3,1.7059496242748864,1.3001613391401157,4.888051052741585,-1.6304872698227335,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-08-19,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟠 카카오(035720),3,1,0,0,1,2,0,1,3,0,1,-0.40018193133081564,-0.8184990255948469,-0.07150065693435348,-6.3975985286669586,0,33.33333333333333,0.0,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-18,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟡 카카오(035720),3,1,0,1,0,2,0,1,3,1,1,-3.205497005414355,-3.1309943609897366,0.11369493753279707,-3.987712811490089,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-14,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🔴 카카오(035720),3,1,1,0,0,2,0,1,3,1,1,-0.5309628930925273,-0.8993511229691276,0.7788841542006689,-1.5158665969281244,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-13,🔴 삼성전자(005930),🔴 두산에너빌리티(034020),🟢 카카오(035720),3,1,1,0,0,2,0,1,3,1,1,0.27020890955088045,0.008312694038100274,1.0200876908102674,-1.466126302926429,0,33.33333333333333,33.33333333333333,33.33333333333333,D_ONE_REACH_CAUTION
2025-08-12,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🟡 카카오(035720),3,2,1,1,0,1,0,0,3,2,2,0.6622314743333154,0.8376086645175121,1.8687977260093709,-0.7931101357587825,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-08-11,🟢 삼성전자(005930),🔴 카카오(035720),🟡 두산에너빌리티(034020),3,2,1,1,0,1,0,1,3,2,2,-2.306416767319064,-2.2466698879125744,1.3354436126877811,-2.955343987305907,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-08-08,🔴 삼성전자(005930),🟢 카카오(035720),🟢 두산에너빌리티(034020),3,2,2,0,0,1,0,0,3,2,2,1.947340939820304,1.7918692800862779,3.394143411748655,-0.08037972893797744,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
2025-08-07,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🔴 한국전력(015760),3,2,2,0,0,1,0,1,3,2,2,-0.9351335411220981,-0.5129657573842353,1.4495598432085959,-2.338837588293541,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-08-06,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 더즌(462860),3,3,3,0,0,0,0,0,3,3,3,0.9554841947289913,1.1643748862750398,3.976541060091169,0.31716871685033937,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-08-05,🔴 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 더즌(462860),3,2,2,0,0,1,0,1,3,2,2,0.8080897555108472,0.7388550991243803,3.7234930792267877,-0.4614040791784772,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2025-08-04,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🟢 한화솔루션(009830),3,3,3,0,0,0,0,0,3,3,3,0.24127336548206424,0.33622671058535225,2.2827669259334473,-0.39516862999237806,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2025-08-01,🟢 삼성전자(005930),🟢 두산에너빌리티(034020),🔴 한화솔루션(009830),3,2,2,0,0,1,0,0,3,2,2,1.9219292848162632,1.7910257193092842,2.578769005312324,-1.085431726483203,0,66.66666666666666,66.66666666666666,66.66666666666666,B_PROFIT_FIRST_PREFERRED
