signal_date,top3_count,success_count_broad,success_count_strict,green_count,yellow_count,orange_count,red_count,red_fast_fail_count,red_no_profit_count,gray_count,avg_signal_volume_retention_vs_d0,avg_signal_turnover_retention_vs_d0,avg_signal_vs_d0_high_pct,avg_signal_vs_d0_close_pct,avg_rsi14,avg_risk_count,avg_trading_day_age,avg_d0_range_pct,avg_upper_shadow_ratio,avg_value_vs_20d,avg_d1_return_at_cutoff,avg_ret_d1_close,day_group_broad,day_group_strict,weekday,month,kospi_change_pct_asof,kosdaq_change_pct_asof,nasdaq_change_pct_asof,sp500_change_pct_asof,usdkrw_change_pct_asof,vix_change_pct_asof
2025-09-12,3,3,2,2,1,0,0,0,0,0,67.96058253861489,69.21307787118873,-2.109364945468998,-0.06207011728993628,53.82447665056361,0.0,1.3333333333333333,20.379028236365674,0.13155781416650983,5.534416464570136,1.3621422910237602,1.0223897884033217,DAY_3_SUCCESS,DAY_GREEN2,Friday,2025-09,1.5351952634411914,1.47587330490202,0.4447202680933237,-0.0482734646229943,0.1658016147635388,0.3399061224010902
2025-09-15,3,3,1,1,2,0,0,0,0,0,42.058353974544524,41.62217443346516,-3.3209174156481276,-1.055999643414381,56.43874643874644,0.0,1.6666666666666667,15.30842817119463,0.1849644675731632,4.216868591655651,0.6067106073950224,0.8248821194547026,DAY_3_SUCCESS,DAY_GREEN1,Monday,2025-09,1.5351952634411914,1.47587330490202,0.4447202680933237,-0.0482734646229943,-0.6235201262825618,0.3399061224010902
2025-09-16,3,2,0,0,2,0,1,1,0,0,55.05426983905465,55.64345486013453,-3.571282982437714,-0.9205179151882348,62.03703703703703,0.6666666666666666,2.3333333333333335,15.426093752354879,0.2157767925031352,3.966061572565053,-1.5763129362847221,-2.3438647361245937,DAY_2_SUCCESS,DAY_GREEN0,Tuesday,2025-09,1.2417420193642448,-0.0996845277885349,-0.0661781978857911,-0.128792734396721,-0.5321261218330431,4.270242497685861
2025-09-17,3,2,2,2,0,0,1,1,0,0,38.39673579425381,37.55450784834671,-3.989419856752067,-2.678788787580448,60.309597523219814,0.3333333333333333,2.3333333333333335,13.422989471645463,0.08218311479181044,2.7274035757620734,-2.6459023717044006,-2.521511179312115,DAY_2_SUCCESS,DAY_GREEN2,Wednesday,2025-09,-1.0499707214127851,-0.74074943651391,-0.3251998302137071,-0.0970218382384091,0.0762172991492615,-3.911982392701152
2025-09-18,3,1,1,1,0,1,1,0,1,0,45.04747761797637,43.92879038337845,-6.412516594773102,-5.210237384870682,50.0,0.6666666666666666,3.3333333333333335,13.422989471645463,0.08218311479181044,2.7274035757620734,-0.5122718003146712,0.0805368355351536,DAY_1_SUCCESS,DAY_GREEN1,Thursday,2025-09,1.4032929044354605,1.369555190235716,0.9405996856432176,0.4789139969850087,0.5846129296651181,-0.1272293729257856
2025-09-19,3,3,3,3,0,0,0,0,0,0,38.32692453632179,36.650288012737896,-7.286993530593182,-6.138059485980818,53.47222222222222,0.3333333333333333,3.6666666666666665,13.0118948374948,0.07027835288704853,2.612470457984936,2.7888777888777967,3.005474058105643,DAY_3_SUCCESS,DAY_GREEN3,Friday,2025-09,-0.4639875191402187,0.7000268343619886,0.7154198886373031,0.4885433567150432,0.5846129296651181,-1.592356707243181
2025-09-22,3,1,1,1,0,1,1,1,0,0,41.91132589221386,42.33398655766931,-5.9607438950518485,-3.8801398813193444,49.545454545454554,0.6666666666666666,3.6666666666666665,19.6166145473898,0.10282366415576405,5.485620356645839,-1.9884320638011932,-2.218617044783459,DAY_1_SUCCESS,DAY_GREEN1,Monday,2025-09,-0.4639875191402187,0.7000268343619886,0.7154198886373031,0.4885433567150432,-0.4898906340645825,-1.592356707243181
2025-09-23,3,2,0,0,2,0,1,0,1,0,31.948872498486452,31.47821432032532,-9.191619879392805,-6.989084278491198,45.55555555555555,0.6666666666666666,4.0,20.002791049660853,0.16029492852358015,5.506798061462004,-0.03331746359619044,1.2603826101331632,DAY_2_SUCCESS,DAY_GREEN0,Tuesday,2025-09,0.5056722355959886,-0.2458941397136205,-0.9456763751602648,-0.5502147525676904,0.177056118152552,3.35403102723042
2025-09-24,3,2,1,1,1,1,0,0,0,0,30.08453970655347,29.09225214993062,-9.936822151390734,-7.472037195685981,34.14529914529914,0.6666666666666666,4.666666666666667,19.727912338478674,0.11731641777895246,5.390750604321199,0.8759755403495902,1.1591027536459426,DAY_2_SUCCESS,DAY_GREEN1,Wednesday,2025-09,-0.4030187683402242,-1.29212001696839,-0.3349507186976574,-0.2846661819580154,0.8477925063764102,-2.764417676354103
2025-09-25,3,1,1,1,0,1,1,1,0,0,50.88050139600873,50.054741830614546,-5.901614445866387,-5.619775314422507,52.38095238095238,0.6666666666666666,1.6666666666666667,14.509599776958567,0.07228195937873357,3.1335239976055185,1.5545619062475982,1.2880260029735673,DAY_1_SUCCESS,DAY_GREEN1,Thursday,2025-09,-0.0296647024601415,-0.9826468743466488,-0.5029811724315159,-0.5009061505249379,0.3754497203718898,3.461059674784095
